time,offset_time,year,dayofyear
1940-12-18 20:00:00,1941-04-17 20:00:00,1940,107.0
1942-01-01 20:00:00,1942-05-01 20:00:00,1941,121.0
1943-01-23 20:00:00,1943-05-23 20:00:00,1942,143.0
1943-12-11 20:00:00,1944-04-09 20:00:00,1943,100.0
1944-11-11 20:00:00,1945-03-11 20:00:00,1944,70.0
1945-12-26 20:00:00,1946-04-25 20:00:00,1945,115.0
1946-11-14 20:00:00,1947-03-14 20:00:00,1946,73.0
1947-12-07 20:00:00,1948-04-05 20:00:00,1947,96.0
1948-12-22 20:00:00,1949-04-21 20:00:00,1948,111.0
1949-11-12 20:00:00,1950-03-12 20:00:00,1949,71.0
1950-11-19 20:00:00,1951-03-19 20:00:00,1950,78.0
1951-11-25 20:00:00,1952-03-24 20:00:00,1951,84.0
1952-11-19 20:00:00,1953-03-19 20:00:00,1952,78.0
1953-11-19 20:00:00,1954-03-19 20:00:00,1953,78.0
1954-11-15 20:00:00,1955-03-15 20:00:00,1954,74.0
1955-11-17 20:00:00,1956-03-16 20:00:00,1955,76.0
1957-01-09 20:00:00,1957-05-09 20:00:00,1956,129.0
1957-10-16 20:00:00,1958-02-13 20:00:00,1957,44.0
1959-01-08 20:00:00,1959-05-08 20:00:00,1958,128.0
1959-12-26 20:00:00,1960-04-24 20:00:00,1959,115.0
1960-11-09 20:00:00,1961-03-09 20:00:00,1960,68.0
1961-11-26 20:00:00,1962-03-26 20:00:00,1961,85.0
1963-02-15 20:00:00,1963-06-15 20:00:00,1962,166.0
1963-09-22 20:00:00,1964-01-20 20:00:00,1963,20.0
1964-11-14 20:00:00,1965-03-14 20:00:00,1964,73.0
1965-11-19 20:00:00,1966-03-19 20:00:00,1965,78.0
1966-11-12 20:00:00,1967-03-12 20:00:00,1966,71.0
1967-11-22 20:00:00,1968-03-21 20:00:00,1967,81.0
1969-01-24 20:00:00,1969-05-24 20:00:00,1968,144.0
1969-11-11 20:00:00,1970-03-11 20:00:00,1969,70.0
1970-12-01 20:00:00,1971-03-31 20:00:00,1970,90.0
1971-12-27 20:00:00,1972-04-25 20:00:00,1971,116.0
1972-11-17 20:00:00,1973-03-17 20:00:00,1972,76.0
1974-01-07 20:00:00,1974-05-07 20:00:00,1973,127.0
1974-11-03 20:00:00,1975-03-03 20:00:00,1974,62.0
1976-02-10 20:00:00,1976-06-09 20:00:00,1975,161.0
1976-09-12 20:00:00,1977-01-10 20:00:00,1976,10.0
1977-12-28 20:00:00,1978-04-27 20:00:00,1977,117.0
1978-11-16 20:00:00,1979-03-16 20:00:00,1978,75.0
1980-01-13 20:00:00,1980-05-12 20:00:00,1979,133.0
1980-12-09 20:00:00,1981-04-08 20:00:00,1980,98.0
1981-12-01 20:00:00,1982-03-31 20:00:00,1981,90.0
1982-11-13 20:00:00,1983-03-13 20:00:00,1982,72.0
1983-10-05 20:00:00,1984-02-02 20:00:00,1983,33.0
1984-11-13 20:00:00,1985-03-13 20:00:00,1984,72.0
1985-11-15 20:00:00,1986-03-15 20:00:00,1985,74.0
1986-11-23 20:00:00,1987-03-23 20:00:00,1986,82.0
1987-10-17 20:00:00,1988-02-14 20:00:00,1987,45.0
1988-12-21 20:00:00,1989-04-20 20:00:00,1988,110.0
1990-01-18 20:00:00,1990-05-18 20:00:00,1989,138.0
1991-03-05 20:00:00,1991-07-03 20:00:00,1990,184.0
1992-01-02 20:00:00,1992-05-01 20:00:00,1991,122.0
1992-12-09 20:00:00,1993-04-08 20:00:00,1992,98.0
1994-02-08 20:00:00,1994-06-08 20:00:00,1993,159.0
1995-01-09 20:00:00,1995-05-09 20:00:00,1994,129.0
1995-12-18 20:00:00,1996-04-16 20:00:00,1995,107.0
1996-10-31 20:00:00,1997-02-28 20:00:00,1996,59.0
1997-12-06 20:00:00,1998-04-05 20:00:00,1997,95.0
1998-12-04 20:00:00,1999-04-03 20:00:00,1998,93.0
2000-02-16 20:00:00,2000-06-15 20:00:00,1999,167.0
2001-01-14 20:00:00,2001-05-14 20:00:00,2000,134.0
2001-11-30 20:00:00,2002-03-30 20:00:00,2001,89.0
2002-11-10 20:00:00,2003-03-10 20:00:00,2002,69.0
2004-02-26 20:00:00,2004-06-25 20:00:00,2003,177.0
2004-10-22 20:00:00,2005-02-19 20:00:00,2004,50.0
2006-01-03 20:00:00,2006-05-03 20:00:00,2005,123.0
2006-12-16 20:00:00,2007-04-15 20:00:00,2006,105.0
2007-12-06 20:00:00,2008-04-04 20:00:00,2007,95.0
2008-11-29 20:00:00,2009-03-29 20:00:00,2008,88.0
2009-12-13 20:00:00,2010-04-12 20:00:00,2009,102.0
2010-12-22 20:00:00,2011-04-21 20:00:00,2010,111.0
2011-10-10 20:00:00,2012-02-07 20:00:00,2011,38.0
2012-12-18 20:00:00,2013-04-17 20:00:00,2012,107.0
2014-03-04 20:00:00,2014-07-02 20:00:00,2013,183.0
2014-12-06 20:00:00,2015-04-05 20:00:00,2014,95.0
2016-01-09 20:00:00,2016-05-08 20:00:00,2015,129.0
2016-12-21 20:00:00,2017-04-20 20:00:00,2016,110.0
2018-01-09 20:00:00,2018-05-09 20:00:00,2017,129.0
2018-12-05 20:00:00,2019-04-04 20:00:00,2018,94.0
2019-12-03 20:00:00,2020-04-01 20:00:00,2019,92.0
2021-01-02 20:00:00,2021-05-02 20:00:00,2020,122.0
2021-12-15 20:00:00,2022-04-14 20:00:00,2021,104.0
2022-11-08 20:00:00,2023-03-08 20:00:00,2022,67.0
2024-02-07 20:00:00,2024-06-06 20:00:00,2023,158.0
