year,spi_ond
1970,-0.8107876372645251
1971,0.984839539330818
1972,1.4100076340326724
1973,0.5912924540778791
1974,-0.34642747255931117
1975,-0.384050784097714
1976,0.38200591803695005
1977,-0.18007915022585252
1978,-1.843285968390859
1979,0.7020405329814302
1980,-1.0750499039210228
1981,-0.8214187834163417
1982,-0.013197460822879035
1983,0.0819011678984116
1984,1.1427077959547587
1985,0.9272301480046191
1986,-1.1949789859643323
1987,0.5946516067430724
1988,1.0541048800276216
1989,-0.9953259237515282
1990,-1.1816333693394916
1991,-0.25998574815278286
1992,-0.12271320456282925
1993,-0.22623742504669478
1994,-1.370861939504524
1995,-0.6725057973138368
1996,-0.3971333508467866
1997,-0.9927237040794078
1998,1.184809553575319
1999,-1.6778724946524077
2000,0.21257844323640232
2001,-1.3531249955926041
2002,-0.3311010296128333
2003,2.3610194325405356
2004,0.6396749770026052
2005,-0.5144959587008369
2006,0.6429280992476706
2007,-0.617047653524664
2008,0.14294872151853774
2009,0.7763849167176419
2010,1.4941702592068102
2011,0.4678466617792676
2012,-0.4514626603326406
2013,1.0067112435538728
2014,0.9956537484401471
2015,1.0982166668857332
2016,-1.1594172443111574
2017,0.2818825647556533
2018,0.39262313876449656
2019,-1.1475268774885232
2020,0.3292673819570713
2021,1.1405739377994735
2022,0.04404596240585932
2023,0.17155024957181791
2024,-0.42352938577292476
2025,-0.5348080407966902
2026,0.49498138906364936
2027,-0.2580749525116681
2028,0.45585683167299235
2029,-0.8899351248338824
2030,-1.3271694638466869
2031,0.6788218339149329
2032,2.1875525727936305
2033,0.5080487456002901
2034,0.20593789748958993
2035,-0.4998375468084514
2036,1.27086285253873
2037,-1.327802346954037
2038,0.5845370250612595
2039,-0.3829852393391635
2040,1.6068665361522174
2041,0.16163490752744164
2042,-1.2683934926135159
2043,1.98096682126076
2044,0.5246913675696413
2045,-1.65123295387951
2046,-0.9019295164050355
2047,-1.0417016908323264
2048,-0.9710556769323108
2049,-0.9234431199593071
2050,0.4597112928438318
2051,-0.9223659654495328
2052,-0.7932699490067825
2053,-0.3784148777818177
2054,0.1857250988110803
2055,0.36115379184112417
2056,0.010731205922643821
2057,0.3258971958933909
2058,1.127434058725072
2059,-1.037143975917356
2060,-0.4946343016952437
2061,-0.8699642673543057
2062,-0.4926958125218053
2063,-0.2836566616580713
2064,-0.21157558249992336
2065,-0.42692403482981284
2066,0.43793700256390755
2067,-0.7478536049161266
2068,-0.5851992504379508
2069,1.010997514618282
2070,0.7285292387081511
2071,-0.6828274179088596
2072,-0.8502658040881798
2073,0.8443579839006261
2074,-0.5429184368497879
2075,-0.09535011195645417
2076,-0.5821317253404671
2077,-0.95149194980644
2078,0.24334613719218295
2079,0.1475597853111911
2080,-1.3623929665212986
2081,-1.699357526455334
2082,0.12699368390431337
2083,-1.2585494188558637
2084,-0.5565479185719495
2085,-1.8038893118599382
2086,0.838662218149437
2087,-0.11841486162211956
2088,-1.0167282639423592
2089,-0.34279611916043007
2090,-0.23999924936674072
2091,1.5573537174273564
2092,-2.4262372436132646
2093,0.8348879967156733
2094,1.7724170917459432
2095,-0.6687386990365657
2096,-1.2585310347533165
2097,-0.6774925170687505
2098,-0.9811439065033309
2099,-0.49798563215010544
2100,0.8456175717748283
