year,dc_doy
1950,37
1951,35
1952,54
1953,352
1954,33
1955,72
1956,96
1957,57
1958,13
1959,66
1960,84
1961,80
1962,18
1963,99
1964,29
1965,61
1966,52
1967,59
1968,26
1969,27
1970,49
1971,86
1972,15
1973,26
1974,258
1975,144
1976,59
1977,53
1978,24
1979,55
1980,95
1981,51
1982,70
1983,16
1984,47
1985,81
1986,80
1987,81
1988,17
1989,53
1990,89
1991,56
1992,77
1993,114
1994,27
1995,73
1996,41
1997,65
1998,64
1999,77
2000,44
2001,13
2002,30
2003,26
2004,22
2005,76
2006,81
2007,364
2008,58
2009,33
2010,63
2011,61
2012,31
2013,43
2014,38
2015,143
2016,75
2017,25
2018,54
2019,43
2020,98
2021,350
2022,41
2023,77
2024,33
2025,44
2026,60
2027,109
2028,21
2029,56
2030,52
2031,91
2032,43
2033,45
2034,52
2035,100
2036,61
2037,87
2038,84
2039,43
2040,72
2041,64
2042,224
2043,13
2044,133
2045,82
2046,360
2047,27
2048,13
2049,35
2050,89
2051,48
2052,138
2053,88
2054,19
2055,112
2056,93
2057,78
2058,103
2059,351
2060,47
2061,117
2062,329
2063,51
2064,67
2065,35
2066,68
2067,33
2068,44
2069,49
2070,18
2071,105
2072,60
2073,96
2074,48
2075,142
2076,109
2077,88
2078,85
2079,76
2080,43
2081,114
2082,38
2083,356
2084,74
2085,114
2086,40
2087,61
2088,356
2089,364
2090,204
2091,331
2092,70
2093,87
2094,54
2095,345
2096,100
2097,69
2098,177
