year,dayofyear
1940,182
1941,84
1942,92
1943,114
1944,91
1945,123
1946,83
1947,51
1948,150
1949,103
1950,79
1951,145
1952,90
1953,80
1954,116
1955,110
1956,118
1957,120
1958,76
1959,134
1960,106
1961,118
1962,63
1963,133
1964,113
1965,116
1966,48
1967,66
1968,77
1969,111
1970,133
1971,79
1972,85
1973,65
1974,97
1975,100
1976,131
1977,114
1978,97
1979,78
1980,102
1981,132
1982,97
1983,69
1984,64
1985,77
1986,60
1987,98
1988,36
1989,96
1990,140
1991,151
1992,97
1993,88
1994,130
1995,96
1996,143
1997,71
1998,67
1999,158
2000,144
2001,116
2002,173
2003,83
2004,144
2005,27
2006,150
2007,196
2008,97
2009,78
2010,110
2011,79
2012,115
2013,130
2014,151
2015,103
2016,98
2017,85
2018,166
2019,97
2020,83
2021,161
2022,85
2023,92
2024,114
