"group","model","est","lower","upper","l_wb","u_wb"
"models","ACCESS-CM2_r1i1p1f1_gn",1.70149494074807,1.18580508963779,2.24574576289904,0.830122367746198,2.5900685707044
"models","CNRM-CM6-1_r1i1p1f2_gr",2.29166092458827,1.72210763384315,2.88781039848888,1.38736833397373,3.21293630886473
"models","EC-Earth3_r1i1p1f1_gr",3.01397803037256,2.47749819238198,3.62996931525317,2.13014277705203,3.94821536718298
"models","GFDL-CM4_r1i1p1f1_gr1",2.29335666812973,1.74786129076079,2.8056678976461,1.40402020470734,3.16273399376592
"models","HadGEM3-GC31-LL_r1i1p1f3_gn",1.99116775990916,1.49352661067111,2.51102363817816,1.13035369644555,2.86501229563196
"models","IPSL-CM6A-LR_r1i1p1f1_gr",1.97845575435925,1.53853775733627,2.48234651105193,1.14967231910824,2.84289779008061
"models","KACE-1-0-G_r1i1p1f1_gr",2.68076839898158,2.18164975926586,3.15701874899099,1.81909934710991,3.52939584039851
"model_synth","Models",2.27079185147926,1.40010463264311,3.15562768147402,NA,NA
