"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha.gmst_est","alpha.gmst_lower","alpha.gmst_upper","shape_est","shape_lower","shape_upper","disp_est","disp_lower","disp_upper","event.magnitude_est","event.magnitude_lower","event.magnitude_upper","return.period_est","return.period_lower","return.period_upper","PR_est","PR_lower","PR_upper","dI.abs_est","dI.abs_lower","dI.abs_upper","dI.rel_est","dI.rel_lower","dI.rel_upper"
"CPC",34.0636570508271,33.4796900600546,34.7032072109594,0.805244879065208,0.530249911309868,0.979728858808959,1.57577864995801,0.541662332778821,2.60410693902248,-0.115097603962008,-0.461915184263469,0.272950515260533,0.0236394136385205,0.0155952868542217,0.0287089774980024,36.0658111572266,36.0658111572266,36.0658111572266,19.2134259829009,7.39629577301917,194.763570368219,60.8292251300746,2.67774549383116,Inf,1.89093437994961,0.64954923397615,3.12510969390329,5.53311250329627,1.83404244066965,9.48707696816166
"ERA5",32.6622189234593,32.1724667841942,33.1721875220104,0.767769552921897,0.617551284055805,0.90369744737571,1.18889623222955,0.579815382741756,1.82920526525839,-0.083844793829854,-0.255233084323051,0.109286456465818,0.0235063500958428,0.018899228274827,0.0276801637843792,34.5491027832031,34.5491027832031,34.5491027832031,16.1801125531269,8.06666093372993,46.9056334996818,13.1451432339153,2.57537264441854,908409.997387902,1.42667547867546,0.695778459290106,2.19504631831007,4.30727937164329,2.05529215118061,6.78446394181869
"ERA5-1970",32.8083732230574,32.2784198737336,33.3367384116956,0.755185357322556,0.537793393127587,0.915150715976803,1.54503805078471,0.80136016382898,2.26456353783089,-0.109238893388308,-0.395386939728609,0.194346896745288,0.0230180677410673,0.0165317485511349,0.027847703325115,34.5491027832031,34.5491027832031,34.5491027832031,14.7380256057772,6.615152179329,66.5850165845901,56.2007239474619,3.23782482881382,Inf,1.85404566094165,0.961632196594777,2.71747624539707,5.6707215834141,2.86310661596153,8.53703362724578
"MSWX",32.6062157827152,32.076119839674,33.2720419402642,0.760347064049344,0.530218147444118,0.932623208772372,1.9075569980823,0.946839650012321,3.00048650489542,-0.0874448487549535,-0.451506550229247,0.274843794283006,0.0233190833648475,0.0164284269850921,0.0286386800261221,33.9915580749512,33.9915580749512,33.9915580749512,7.78801257019397,3.47682555885784,21.1195361134338,68.6303436842847,3.85554926679994,Inf,2.28906839769876,1.13620758001478,3.60058380587451,7.22046886854203,3.45821171851633,11.8475438170234
