"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha.gmst_est","alpha.gmst_lower","alpha.gmst_upper","shape_est","shape_lower","shape_upper","disp_est","disp_lower","disp_upper","event.magnitude_est","event.magnitude_lower","event.magnitude_upper","return.period_est","return.period_lower","return.period_upper","PR_est","PR_lower","PR_upper","dI.abs_est","dI.abs_lower","dI.abs_upper","dI.rel_est","dI.rel_lower","dI.rel_upper"
"CPC",21.1722268467877,20.8415906086726,21.5567380771929,0.567834559429745,0.417865070709174,0.67140708067214,2.11782193501194,1.30676314716821,2.8439721660824,-0.151482741603297,-0.413294516455971,0.0755019767228534,0.0268197844061876,0.0194979528244812,0.0320565401762374,21.1945705413818,21.1945705413818,21.1945705413818,1.61915707574413,1.1431318489382,2.47252227334907,1238.75140852145,39.6042275284727,Inf,2.54138632201432,1.56811577660186,3.41276659929888,13.6244101389167,7.98981014986438,19.1924680133353
"ERA5",20.7802204851916,20.4624634065745,21.047423257298,0.551253423158277,0.414369503175804,0.641345219922447,1.17620687724741,0.809687590934924,1.58564987070501,-0.211895409449876,-0.335384196554609,-0.0198067453419204,0.0265277947147438,0.0201332694839377,0.0308193711037048,20.8981876373291,20.8981876373291,20.8981876373291,1.81106773718319,1.35316181027756,2.92445908673811,36.4956525619516,10.0045386718967,3062.42860700277,1.41144825269689,0.971625109121908,1.90277984484601,7.24312171901881,4.87603172238876,10.0170518375862
"ERA5-1970",20.7802204851916,20.4624634065745,21.047423257298,0.551253423158277,0.414369503175804,0.641345219922447,1.17620687724741,0.809687590934924,1.58564987070501,-0.211895409449876,-0.335384196554609,-0.0198067453419204,0.0265277947147438,0.0201332694839377,0.0308193711037048,20.8981876373291,20.8981876373291,20.8981876373291,1.81106773718319,1.35316181027756,2.92445908673811,36.4956525619516,10.0045386718967,3062.42860700277,1.41144825269689,0.971625109121908,1.90277984484601,7.24312171901881,4.87603172238876,10.0170518375862
"MSWX",20.4641345208343,19.3959343815503,20.773850710475,0.761470631111123,0.522423330764074,0.888640529211088,2.94554892197223,1.06852427896916,3.31175998551618,-0.624558159822735,-0.870309534772023,-0.0717056765098488,0.0372100090690803,0.026523528341426,0.043259816847985,21.6357517242432,21.6357517242432,21.6357517242432,180.464130267707,32.0862905859151,Inf,Inf,80.2823534596013,Inf,3.53465870636667,1.26320284248018,4.03691824809503,19.5273219295425,6.20051556371522,22.9385567591339
