"year","time","tmax","gmst","q90","ex90","q90_ann","ex_ann"
1950,"1950-01-01",-11.297861,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-02",-13.028244,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-03",-15.701314,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-04",-19.750645,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-05",-21.67782,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-06",-22.136501,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-07",-20.25013,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-08",-18.78542,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-09",-19.370758,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-10",-19.900833,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-11",-11.646709,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-12",-4.556486,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-13",-1.9767733,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-14",-4.139256,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-15",-8.179505,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-16",-15.006764,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-17",-19.60327,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-18",-14.100485,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-19",-3.6234047,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-20",-1.3742937,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-21",-1.8219317,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-22",-1.3208672,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-23",-2.4151974,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-24",-3.1987143,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-25",-1.8550704,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-26",-4.661853,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
1950,"1950-01-27",-7.2675767,-1.263971,15.6792315609733,FALSE,17.6626838,FALSE
