time,tp
1950-01-01,0.18506527
1950-01-02,0.9969283
1950-01-03,0.048606396
1950-01-04,0.0003528595
1950-01-05,0.00084638596
1950-01-06,0.0111413
1950-01-07,0.00641346
1950-01-08,5.2132587
1950-01-09,10.170681
1950-01-10,0.36010987
1950-01-11,0.041811466
1950-01-12,0.008854866
1950-01-13,0.01982212
1950-01-14,0.6471539
1950-01-15,0.063169
1950-01-16,0.08294821
1950-01-17,0.586704
1950-01-18,0.042085648
1950-01-19,0.0010418892
1950-01-20,0.014755726
1950-01-21,5.2501917
1950-01-22,5.787251
1950-01-23,1.439053
1950-01-24,1.8891453
1950-01-25,3.3459187
1950-01-26,2.3205018
1950-01-27,0.7440734
1950-01-28,0.33782005
1950-01-29,0.65589195
1950-01-30,0.088796616
1950-01-31,3.0936363
1950-02-01,0.37459373
1950-02-02,0.013072491
1950-02-03,1.8701161
1950-02-04,11.394417
1950-02-05,0.6375623
1950-02-06,2.8032827
1950-02-07,0.0059103966
1950-02-08,0.047256947
1950-02-09,0.0049877167
1950-02-10,0.0
1950-02-11,0.010422468
1950-02-12,0.032110214
1950-02-13,3.1268406
1950-02-14,0.2347207
1950-02-15,0.0
1950-02-16,3.33786e-05
1950-02-17,0.0070500374
1950-02-18,0.037693977
1950-02-19,0.0057029724
1950-02-20,0.0006198883
1950-02-21,0.00025987625
1950-02-22,0.0323534
1950-02-23,0.60307264
1950-02-24,3.035555
1950-02-25,8.520241
1950-02-26,0.47752616
1950-02-27,3.262899
1950-02-28,1.795907
1950-03-01,0.65365076
1950-03-02,0.4017962
1950-03-03,0.055053234
1950-03-04,1.1920929e-05
1950-03-05,0.00066280365
1950-03-06,0.011041164
1950-03-07,0.1097846
1950-03-08,0.08006573
1950-03-09,1.2353945
1950-03-10,4.299355
1950-03-11,0.27846694
1950-03-12,0.22067547
1950-03-13,0.20192623
1950-03-14,0.006585121
1950-03-15,2.9332447
1950-03-16,0.70999855
1950-03-17,0.5903089
1950-03-18,3.1151762
1950-03-19,0.20055532
1950-03-20,0.078856945
1950-03-21,0.0018119812
1950-03-22,5.722046e-05
1950-03-23,8.106232e-05
1950-03-24,5.00679e-05
1950-03-25,0.0002193451
1950-03-26,1.5142142
1950-03-27,3.8542843
1950-03-28,6.868653
