time,pr_pt,pr_npt
1950-01-01,7.4103074e-05,0.0001565734
1950-01-02,0.0,0.0
1950-01-03,5.7993708e-05,0.0001281055
1950-01-04,0.00021586547,0.00047683716
1950-01-05,0.0027385917,0.0054231333
1950-01-06,0.054063022,0.028168976
1950-01-07,0.5174811,0.7964248
1950-01-08,12.28645,14.215648
1950-01-09,2.741047,3.1741056
1950-01-10,0.0065887296,0.012404883
1950-01-11,0.0033765226,0.0058643855
1950-01-12,0.0032798664,0.0058074496
1950-01-13,0.005338643,0.00131664
1950-01-14,4.3638105,0.16090052
1950-01-15,0.62511736,0.012340831
1950-01-16,0.5225136,0.9299179
1950-01-17,0.012347827,0.019340374
1950-01-18,0.0,0.0
1950-01-19,4.832809e-05,0.0
1950-01-20,0.11146713,0.00078286696
1950-01-21,2.117766,0.0
1950-01-22,3.2633948,0.2283196
1950-01-23,0.008409088,0.0011244817
1950-01-24,0.07258074,0.0370474
1950-01-25,0.63478297,0.03001939
1950-01-26,0.2265508,0.056807674
1950-01-27,2.1248636,0.25747782
1950-01-28,20.456526,11.405057
1950-01-29,2.7011054,2.4466228
1950-01-30,2.050767,4.2349544
1950-01-31,13.5222025,18.124708
1950-02-01,0.23106304,0.5102869
1950-02-02,5.117162,10.7305155
1950-02-03,31.568548,45.38365
1950-02-04,10.835422,14.667846
1950-02-05,12.357264,22.401127
1950-02-06,1.103195,1.8155184
1950-02-07,0.52962434,1.1423454
1950-02-08,3.5424585,6.909463
1950-02-09,0.014923714,0.032524563
1950-02-10,0.08671026,0.1890766
1950-02-11,3.5175278,7.3145294
1950-02-12,1.1357133,2.4130735
1950-02-13,12.359832,20.300802
1950-02-14,0.07017883,0.10270503
1950-02-15,0.00026419357,0.00058359175
1950-02-16,0.0,0.0
1950-02-17,0.0,0.0
1950-02-18,0.0,0.0
1950-02-19,0.00012243116,0.00027044496
1950-02-20,0.13843259,0.30531457
1950-02-21,0.058647748,0.11460461
1950-02-22,0.091868475,0.1475135
1950-02-23,1.7910647,2.535265
1950-02-24,8.527495,9.876614
1950-02-25,12.08035,18.472721
1950-02-26,1.2730521,2.663648
1950-02-27,5.807045,6.575179
1950-02-28,0.67796576,0.6505411
1950-03-01,0.40558544,0.5227345
1950-03-02,0.009059906,0.008981619
1950-03-03,0.03804387,0.07193124
1950-03-04,0.008966472,0.009365936
1950-03-05,0.0,0.0
1950-03-06,0.0,0.0
1950-03-07,2.5774982e-05,5.693578e-05
1950-03-08,0.0,0.0
1950-03-09,3.1186602,0.17733361
1950-03-10,0.31090748,0.33180037
1950-03-11,0.023803195,0.038161207
1950-03-12,1.4110644,0.99648297
1950-03-13,0.43119934,0.04297228
1950-03-14,2.8711462,4.902512
1950-03-15,14.091733,16.6654
1950-03-16,2.5662603,3.3434472
1950-03-17,5.162208,9.865989
1950-03-18,13.947843,21.471191
1950-03-19,1.4862176,2.8085778
1950-03-20,0.8772289,1.4670713
1950-03-21,0.062269133,0.13382755
1950-03-22,0.008267325,0.012981358
1950-03-23,0.001794583,0.003914335
1950-03-24,0.00013209679,0.00029179588
1950-03-25,0.0100619085,0.004320002
1950-03-26,8.414759,8.931832
1950-03-27,4.736103,1.1541452
1950-03-28,4.7627788,2.284776
1950-03-29,2.9261131,1.824742
1950-03-30,0.25792056,0.18578857
1950-03-31,6.443745e-05,0.00014233946
1950-04-01,0.0,0.0
1950-04-02,0.010657955,0.019678429
1950-04-03,0.014524202,0.026172666
1950-04-04,0.0,0.0
1950-04-05,5.7993708e-05,0.0001281055
1950-04-06,1.5545406,0.5721192
1950-04-07,1.4089024,1.6243601
1950-04-08,0.0010599961,0.002341484
1950-04-09,3.2218727e-06,7.1169725e-06
1950-04-10,7.732494e-05,0.00017080734
1950-04-11,0.44736186,0.12690629
1950-04-12,1.1284947,0.22814167
1950-04-13,0.07349092,0.1088363
1950-04-14,1.111691,1.375846
1950-04-15,0.09134976,0.1305324
1950-04-16,2.8244257,3.0945735
1950-04-17,0.8702504,1.2632341
1950-04-18,5.7194815,9.276931
1950-04-19,0.29198867,0.5620202
1950-04-20,0.020713419,0.045427635
1950-04-21,0.00032863102,0.0007259312
1950-04-22,0.00013209679,0.0002846789
1950-04-23,0.00037051536,0.00081845187
1950-04-24,0.0002738592,0.0006049427
1950-04-25,0.0023068609,0.0026475138
1950-04-26,0.009394981,0.019493388
1950-04-27,0.0008312432,0.0
1950-04-28,0.0059024706,0.0
1950-04-29,0.00017075925,0.00037719955
1950-04-30,0.00018042487,0.0
1950-05-01,0.00015142802,0.00033449772
1950-05-02,0.0036149411,0.007857137
1950-05-03,0.065674655,0.14507237
1950-05-04,0.036774457,0.07548973
1950-05-05,0.5519003,0.76935184
1950-05-06,0.21921945,0.38327032
1950-05-07,0.34435052,0.071888536
1950-05-08,0.011930594,0.025770558
1950-05-09,0.00057993707,0.0012170023
1950-05-10,0.18912071,0.11231294
1950-05-11,1.1270466,0.9045814
1950-05-12,9.684733,15.5208435
1950-05-13,6.9712567,5.7840986
1950-05-14,12.681317,7.9488997
1950-05-15,6.1210747,7.4309945
1950-05-16,15.639081,9.7762575
1950-05-17,5.50329,5.0506024
1950-05-18,2.8015792,5.2441626
1950-05-19,14.419359,22.10607
1950-05-20,14.635795,23.421314
1950-05-21,12.229654,21.38626
1950-05-22,11.756324,16.810936
1950-05-23,5.3235807,9.093953
1950-05-24,16.740726,21.94683
1950-05-25,10.315409,20.464756
1950-05-26,2.0181715,3.9153168
1950-05-27,0.22534744,0.41170263
1950-05-28,9.665618e-06,2.1350917e-05
1950-05-29,0.07263712,0.07435813
1950-05-30,2.2997758,1.3312297
1950-05-31,0.19552901,0.36580527
1950-06-01,0.10017769,0.2193949
1950-06-02,0.0091726715,0.016796054
1950-06-03,0.018738411,0.04010414
1950-06-04,0.07410307,0.16339146
1950-06-05,0.085534275,0.18372464
1950-06-06,0.026551453,0.053640623
1950-06-07,1.4416142,3.1542706
1950-06-08,5.3707523,9.890044
1950-06-09,5.5238686,7.000517
1950-06-10,6.254283,7.1922483
1950-06-11,10.011238,11.269086
1950-06-12,5.687823,10.28806
1950-06-13,0.18660443,0.30893356
1950-06-14,0.039616145,0.077347256
1950-06-15,6.7579594,11.837703
1950-06-16,10.212785,14.105718
1950-06-17,1.1342442,1.3841017
1950-06-18,0.12413876,0.24552843
1950-06-19,0.54764426,1.1694609
1950-06-20,1.2063239,2.3986616
1950-06-21,0.23698966,0.40659976
1950-06-22,0.021238584,0.046594817
1950-06-23,0.0015980488,0.00340903
1950-06-24,0.028590899,0.06032346
1950-06-25,0.01467563,0.025179848
1950-06-26,0.003592388,0.005956906
1950-06-27,0.00019331236,0.00018504128
1950-06-28,0.0002609717,0.00021350918
1950-06-29,0.007384532,0.013814043
1950-06-30,0.07514051,0.13878807
1950-07-01,0.05106668,0.097901076
1950-07-02,0.21641964,0.46250358
1950-07-03,0.68429834,0.68795854
1950-07-04,4.1948867,7.1704707
1950-07-05,0.022836633,0.013031176
1950-07-06,0.15368977,0.31152412
1950-07-07,4.832809e-05,3.5584864e-05
1950-07-08,0.00810301,0.013465312
1950-07-09,0.10858033,0.23843993
1950-07-10,0.0051034465,0.010938787
1950-07-11,5.4771837e-05,0.00012098853
1950-07-12,0.002400295,0.0027969703
1950-07-13,0.24563235,0.5019387
1950-07-14,0.19849314,0.42522487
1950-07-15,0.04223231,0.093025945
1950-07-16,0.3366889,0.6811939
1950-07-17,1.6109363e-05,3.5584864e-05
1950-07-18,0.0,0.0
1950-07-19,0.0,0.0
1950-07-20,0.00087957125,0.0016511376
1950-07-21,0.015305506,0.03167053
1950-07-22,0.035914216,0.07887029
1950-07-23,0.04053438,0.08188077
1950-07-24,2.8996854e-05,4.2701835e-05
1950-07-25,0.0653428,0.14427526
1950-07-26,0.0005412746,0.0002063922
1950-07-27,0.0022488672,0.0024553556
1950-07-28,0.003064001,0.0065903165
1950-07-29,0.004555728,0.0036865918
