"","synth_type","sig_obs","chi2.dof","df.group","df.model","df.est","df.lower","df.upper","df.l_wb","df.u_wb"
"1","abs",1.06233804260402,1.06825292233082,"obs","CPC",2.54138632201432,1.56811577660186,3.41276659929888,0.242965172110097,4.79854998807846
"2","abs",1.06233804260402,1.06825292233082,"obs","ERA5",1.41144825269689,0.971625109121908,1.90277984484601,-0.716679709946278,3.55081520607431
"3","abs",1.06233804260402,1.06825292233082,"obs","MSWX",3.53465870636667,1.26320284248018,4.03691824809503,0.453263572771515,5.67656180291814
"4","abs",1.06233804260402,1.06825292233082,"obs_synth","Observations",2.49583109369263,0.0784113614294175,4.66883404440617,NA,NA
"5","abs",1.06233804260402,1.06825292233082,"models","ACCESS-CM2",1.4,0.84,1.97,0.821032710612202,1.98864515812249
"6","abs",1.06233804260402,1.06825292233082,"models","ACCESS-ESM1-5",1.62,1.18,2.07,1.15610009465289,2.09339531280005
"7","abs",1.06233804260402,1.06825292233082,"models","CanESM5",1.81,1.31,2.19,1.28884443571899,2.21743480727726
"8","abs",1.06233804260402,1.06825292233082,"models","CMCC-ESM2",1.14,0.48,1.66,0.463832031089128,1.68037313236416
"9","abs",1.06233804260402,1.06825292233082,"models","EC-Earth3",1.89,1.32,2.3,1.30135484187751,2.32554921901096
"10","abs",1.06233804260402,1.06825292233082,"models","EC-Earth3-Veg",1.92,1.33,2.54,1.31196782800492,2.55718374287254
"11","abs",1.06233804260402,1.06825292233082,"models","EC-Earth3-Veg-LR",1.33,0.66,2.05,0.64406769854376,2.06484904720701
"12","abs",1.06233804260402,1.06825292233082,"models","FGOALS-g3",1.89,1.16,2.58,1.14535033594243,2.59548077378555
"13","abs",1.06233804260402,1.06825292233082,"models","INM-CM4-8",1.9,1.35,2.42,1.33069944477363,2.44037313236416
"14","abs",1.06233804260402,1.06825292233082,"models","INM-CM5-0",1.74,1.1,2.38,1.08333941630318,2.39666058369682
"15","abs",1.06233804260402,1.06825292233082,"models","MPI-ESM1-2-HR",1.91,0.93,2.93,0.919039293321347,2.94053535707469
"16","abs",1.06233804260402,1.06825292233082,"models","MPI-ESM1-2-LR",0.65,-0.58,1.86,-0.588750629538106,1.86889422107952
"17","abs",1.06233804260402,1.06825292233082,"models","MRI-ESM2-0",1.18,0.53,1.92,0.513589374198569,1.93445551371904
"18","abs",1.06233804260402,1.06825292233082,"models","NorESM2-MM",1.92,1.25,2.45,1.23406769854376,2.47000283833909
"19","abs",1.06233804260402,1.06825292233082,"models","CAM-22_MOHC-HadGEM2-ES_RegCM4-7",1.33158504549583,0.905166348181057,1.98217262108453,0.880546213907371,1.99856879019388
"20","abs",1.06233804260402,1.06825292233082,"models","CAM-22_MPI-M-MPI-ESM-MR_RegCM4-7",1.6374220598416,1.07744489590898,2.22697799248902,1.05847685836993,2.24502334349793
"21","abs",1.06233804260402,1.06825292233082,"models","CAM-22_NOAA-GFDL-GFDL-ESM2M_CRCM5",1.35613949469784,0.869042058186883,1.81223511191452,0.84734972000047,1.83533291517158
"22","abs",1.06233804260402,1.06825292233082,"models","CAM-22_NOAA-GFDL-GFDL-ESM2M_RegCM4-7",1.51067957820604,0.730125917438031,2.22367741560411,0.716408126170028,2.23866930225122
"23","abs",1.06233804260402,1.06825292233082,"models","CAM-44_CCCma-CanESM2_RCA4",1.4905694125307,1.20869919385571,1.80603542945107,1.17267958514243,1.83859517308968
"24","abs",1.06233804260402,1.06825292233082,"models","CAM-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_RCA4",2.08576560185355,1.1630132914707,2.6174249866835,1.15138080504982,2.63736765375221
"25","abs",1.06233804260402,1.06825292233082,"models","CAM-44_ICHEC-EC-EARTH_RCA4",1.81321857931714,1.25241087322092,2.33075621273347,1.23347000847116,2.35122259805978
"26","abs",1.06233804260402,1.06825292233082,"models","CAM-44_MIROC-MIROC5_RCA4",1.35815920555662,0.854427013418194,1.95390358001866,0.833421896441251,1.97176696453969
"27","abs",1.06233804260402,1.06825292233082,"models","CAM-44_MOHC-HadGEM2-ES_RCA4",1.2380211967685,0.803719183225204,1.74533389213031,0.779522166072888,1.76619663453167
"28","abs",1.06233804260402,1.06825292233082,"models","CAM-44_MPI-M-MPI-ESM-LR_RCA4",1.67788636203877,1.29890289904096,1.98107326794948,1.27139947737105,2.01482170019249
"29","abs",1.06233804260402,1.06825292233082,"models","CAM-44_NCC-NorESM1-M_RCA4",1.93619155081267,1.49532718587496,2.32375865417202,1.4714717315097,2.35069291605459
"30","abs",1.06233804260402,1.06825292233082,"models","CAM-44_NOAA-GFDL-GFDL-ESM2M_RCA4",1.57215332451417,1.03506285511337,2.00082802669665,1.01531466340826,2.02532561236096
"31","abs",1.06233804260402,1.06825292233082,"models","EC-Earth3P-HR",2.26574390841349,1.71555611168266,2.74960974361834,1.69626192111927,2.77144072337236
"32","abs",1.06233804260402,1.06825292233082,"models","HadGEM3-GC31-HM",1.52016227068308,1.05261847669145,1.99484534245594,1.03005991251579,2.01707991054785
"33","abs",1.06233804260402,1.06825292233082,"models","MPI-ESM1-2-XR",2.03462467811542,1.4129136643984,2.6867067827925,1.39577594268731,2.70306629368191
"34","abs",1.06233804260402,1.06825292233082,"model_synth","Models",1.63934515813202,1.46158441017416,1.81442675609074,NA,NA
"35","abs",1.06233804260402,1.06825292233082,"synth","Synthesis",1.64437573662984,1.46708956941157,1.81889631850385,0.855614833565288,3.15761053276385
