year,rx2day,rx2day_notc,ipo,nino34,pdo,gmst
1936,124.52183009091526,124.52183009091526,0.22416666666666665,0.023263708,1.2221055,-1.0481944
1937,58.41567095228795,58.41567095228795,0.078,-0.25356326,1.2845317,-1.01736103
1938,198.12502808063886,136.06657772548832,-0.48741666666666666,-0.46948227,0.38421956,-0.9715277
1939,79.28614821028664,79.28614821028665,-0.58575,-0.6792898,0.14554794,-0.9040277
1940,72.15538383856173,72.15538383856175,0.7952499999999999,0.4357954,0.99812627,-0.85069436
1941,71.6743035181677,71.67430351816773,1.3477499999999998,1.2286456,2.611799,-0.83444436
1942,63.272305286274616,63.272305286274644,0.767,0.37761414,2.1179307,-0.8075694
1943,77.64175561311255,77.64175561311258,-1.0441666666666667,-1.4246364,-0.00017777954,-0.787361
1944,103.34366021265546,103.3436602126555,-0.547,-0.16389209,-0.44440594,-0.8100693999999999
1945,86.34860430777937,86.3486043077794,-0.4486666666666667,-0.9283398,-0.53483045,-0.84444436
1946,88.21509311927069,88.21509311927072,-0.34075000000000005,-0.78244257,-0.21631368,-0.8734027
1947,69.54828094448906,69.5482809444891,0.018416666666666665,-0.15533407,-0.02685695,-0.95131936
1948,118.21066367801322,118.21066367801325,-0.169,0.05360059,0.049213603,-1.00277769
1949,57.842076181025405,57.84207618102543,-0.57825,-0.47851434,-1.531043,-1.0281944
1950,97.3789259039286,97.37892590392863,-1.2000833333333334,-0.96858376,-1.8155552,-1.039236
1951,156.11646776889083,156.11646776889086,-0.8940833333333332,-0.10674266,-1.7022043,-1.01048603
1952,62.674267815397194,62.67426781539722,0.10508333333333335,0.56118816,-1.1682152,-0.9627777
1953,107.63296793134134,107.63296793134137,-0.13591666666666669,0.3430769,-0.6480493,-0.9529860299999999
1954,112.03263359623674,112.03263359623676,-0.1410833333333333,0.4136882,-0.53594524,-0.9709027
1955,118.57840331393959,118.57840331393962,-0.9070833333333334,-0.5472725,-0.6821026,-1.02069436
1956,98.71253694774498,98.71253694774501,-1.3878333333333333,-0.7015393,-2.4128773,-1.0288194
1957,106.01174901369617,106.0117490136962,-0.5430833333333334,0.14409493,-0.8418474,-0.97986103
1958,124.91335149895272,124.91335149895275,0.7606666666666667,1.3282113,1.2632631,-0.9371527
1959,99.59379485808365,99.59379485808368,0.18791666666666665,0.38770127,0.7605888,-0.89611103
1960,95.08118802071058,95.08118802071061,-0.10241666666666667,-0.15430723,0.52038896,-0.8940277
1961,144.2693884547998,144.2693884547998,-0.15941666666666668,0.073123224,0.20817967,-0.9019443699999999
1962,60.80673843834246,60.80673843834246,-0.7413333333333334,-0.2240536,-1.0716459,-0.89569437
1963,134.35001651706176,134.35001651706176,-0.45916666666666667,-0.17818648,-0.57347673,-0.9390277
1964,74.26901679505923,74.26901679505923,0.07300000000000002,0.52248657,-0.39306548,-0.97986103
1965,86.39544012593504,86.39544012593504,-0.42175,-0.22209638,-0.80301815,-1.00194436
1966,112.90550456657319,112.90550456657319,0.7180833333333333,1.3734463,-0.011677391,-1.02173602
1967,100.65177673686397,100.65177673686397,-0.15575,-0.14554343,-0.45888305,-0.99298604
1968,105.19934044767102,105.19934044767102,-0.6045,-0.06552471,-0.3817364,-0.9529860299999999
1969,75.51336987804429,75.51336987804429,0.36341666666666667,0.6556801,-0.11616408,-0.932361034
1970,92.29664421730698,92.29664421730698,0.25816666666666666,0.30998063,0.52006173,-0.9471527
1971,123.47093886598365,123.47093886598365,-1.1454166666666665,-0.782957,-1.338369,-0.9244443675
1972,102.1702272064012,102.1702272064012,-0.5880833333333334,-0.07475808,-1.4193845,-0.89819437
1973,104.40591551831427,104.40591551831427,0.4463333333333333,1.0164016,-0.27471247,-0.9223610289999999
1974,112.88491175572544,112.88491175572544,-1.2473333333333334,-1.3981949,-0.91171354,-0.9052777
1975,68.85181659174836,68.85181659174836,-0.8946666666666667,-0.4129798,-0.5379556,-0.931944368
1976,112.35667679838839,112.35667679838839,-1.0861666666666667,-0.73258203,-1.3264686,-0.927361031
1977,146.24923407236741,146.24923407236741,0.43283333333333335,0.6588814,0.88584757,-0.89236103
1978,84.64002622656213,84.64002622656213,0.28099999999999997,0.4216869,0.7701876,-0.8477777
1979,97.81293515574225,97.81293515574225,-0.08850000000000001,-0.035331234,-0.028566519,-0.7590277
1980,77.40496359652929,77.40496359652929,0.34591666666666665,0.3119031,1.0979818,-0.7227777
1981,106.47061724831927,106.47061724831927,0.057166666666666664,-0.13536906,1.2899617,-0.7050694
1982,120.42666742178184,120.42666742178184,0.17008333333333334,0.12687878,0.44438696,-0.6684026999999999
1983,53.2616585945722,53.2616585945722,1.4359166666666667,1.6569093,1.2944195,-0.6931944
1984,69.78663266253382,69.78663266253382,0.1369166666666667,-0.64125013,1.4751927,-0.7446527
1985,105.97761448543628,105.97761448543628,-0.45225,-0.6235748,0.40760836,-0.7344444
1986,143.25726334377927,143.25726334377927,-0.11325,-0.27170458,1.1202246,-0.7321527
1987,136.97325005116696,136.97325005116696,0.862,1.0124146,1.6190535,-0.6744444
1988,263.0203331137263,80.4852686533655,0.6686666666666667,0.31628403,1.4581213,-0.6356944
1989,120.05172310272793,120.0517231027279,-1.0188333333333335,-1.380788,-0.25952473,-0.5694444
1990,79.1879573378855,79.18795733788548,-0.23975000000000002,-0.04283603,0.107482016,-0.5488194
1991,97.3535158315129,97.35351583151287,0.0285,0.37705866,-0.64433473,-0.5911109999999999
1992,100.92650391306952,100.9265039130695,0.9199999999999999,1.4635876,0.7157764,-0.601736
1993,107.27938162998754,107.27938162998751,0.6932499999999999,0.43153703,1.4502512,-0.6350694
1994,49.27722509145276,49.277225091452735,0.5933333333333334,0.3789917,1.3588034,-0.624861
1995,74.90948389088385,74.90948389088382,0.5235833333333334,0.73493034,0.19290751,-0.5977777
1996,126.26090864942968,126.26090864942965,-0.22999999999999998,-0.6977093,1.3450184,-0.5400693999999999
1997,117.9931596917658,117.99315969176577,0.11916666666666666,0.017187864,1.1529713,-0.4671527
