time,year
1978,40.206634521484375
1979,172.3773193359375
1980,179.71551513671875
1981,174.14874267578125
1982,80.3472900390625
1983,142.07366943359375
1984,193.16551208496094
1985,359.5287780761719
1986,120.49134063720703
1987,115.93074798583984
1988,151.97982788085938
1989,93.78194427490234
1990,97.60955047607422
1991,33.032596588134766
1992,167.66053771972656
1993,153.00299072265625
1994,197.1165313720703
1995,157.1903076171875
1996,109.95475006103516
1997,44.67349624633789
1998,215.7222137451172
1999,156.02342224121094
2000,243.31832885742188
2001,134.76473999023438
2002,147.85574340820312
2003,285.0598449707031
2004,113.32771301269531
2005,251.95571899414062
2006,232.2556610107422
2007,191.28628540039062
2008,285.5594482421875
2009,198.01922607421875
2010,304.8289489746094
2011,197.97991943359375
2012,217.1397705078125
2013,330.3346862792969
2014,227.83724975585938
2015,149.80831909179688
2016,250.0872344970703
2017,144.17886352539062
2018,120.39994049072266
2019,97.1148681640625
2020,217.64505004882812
2021,149.0460662841797
2022,248.84170532226562
2023,305.604736328125
