time,year
1949,156.32708740234375
1950,87.40959167480469
1951,144.79896545410156
1952,106.6885757446289
1953,226.96163940429688
1954,131.81724548339844
1955,215.4754638671875
1956,223.85704040527344
1957,49.62987518310547
1958,40.790260314941406
1959,158.3705291748047
1960,90.07019805908203
1961,201.401611328125
1962,156.63845825195312
1963,193.46484375
1964,244.32289123535156
1965,65.54547119140625
1966,90.16422271728516
1967,106.2686538696289
1968,85.14329528808594
1969,76.96330261230469
1970,127.54148864746094
1971,63.403167724609375
1972,63.88920593261719
1973,287.3624267578125
1974,89.04228210449219
1975,279.62713623046875
1976,117.5428237915039
1977,58.46343231201172
1978,83.38398742675781
1979,141.78358459472656
1980,140.9384002685547
1981,141.60751342773438
1982,53.78302764892578
1983,95.37808990478516
1984,108.53636169433594
1985,238.42208862304688
1986,92.445068359375
1987,85.55330657958984
1988,114.17569732666016
1989,60.88855743408203
1990,105.40396118164062
1991,42.38254928588867
1992,115.54906463623047
1993,103.09921264648438
1994,114.26984405517578
1995,203.07286071777344
1996,174.97303771972656
1997,49.52311706542969
1998,155.32138061523438
1999,154.32037353515625
2000,109.40070343017578
2001,143.86305236816406
2002,80.91657257080078
2003,163.2103271484375
2004,108.31407165527344
2005,259.5753173828125
2006,171.6658172607422
2007,143.74246215820312
2008,334.64337158203125
2009,135.61312866210938
2010,229.66049194335938
2011,103.784423828125
2012,185.6526641845703
2013,332.39813232421875
2014,126.74349975585938
2015,163.45518493652344
2016,228.8560333251953
2017,125.0589828491211
2018,116.3987045288086
2019,92.48887634277344
2020,163.5043487548828
2021,109.43740844726562
2022,214.99932861328125
2023,179.1129608154297
