,Include,eval_sigma0_est,eval_sigma0_lower,eval_sigma0_upper,rp_value,attr_PR_est,attr_PR_lower,attr_PR_upper,attr_dI.abs_est,attr_dI.abs_lower,attr_dI.abs_upper,proj_PR_est,proj_PR_lower,proj_PR_upper,proj_dI.abs_est,proj_dI.abs_lower,proj_dI.abs_upper,aic,ymax
NAM-22_GFDL-ESM2M_CRCM5,y,44.3848897851103,38.4334100316547,49.4811298192487,107.00155734454,0.917388291123493,0.280530934810793,4.97150352791628,-2.2066011545931,-39.8816486178262,33.4269813730436,0.710475546991686,0.263121392068056,1.55938528597625,-8.34775986253879,-28.006968310685,12.2412880598084,1168.42887977697,2099
NAM-44_CanESM2_CanRCM4,y,40.1965669383611,34.2395813827551,44.7212566279995,155.509862302245,0.643555997503292,0.317262111664365,1.48107601860141,-10.7707001633475,-30.2967532905136,8.95711998366131,1.00670822780045,0.597972025925646,1.65195398708602,0.160106921773377,-11.4795993441998,12.6189246164819,1143.93201098253,2060
NAM-44_CanESM2_CRCM5,y,39.376491271051,33.4637482319744,45.1471655166074,151.567452723231,1.62603601216536,0.765875840250882,4.33928864659493,10.2677156084879,-6.33619903941159,26.9741544219431,0.915720382238693,0.533477930727566,1.43580009206683,-1.90226144209595,-12.4771260272855,7.93947543182286,1126.91402505676,2060
NAM-44_GFDL-ESM2M_RegCM4,y,35.9714368508678,28.3066823527164,41.9256790434751,96.2178058280333,0.569589626106622,0.188429276873237,3.35353449994266,-12.5594936362553,-43.239177673817,21.6886783655007,0.654167153264039,0.248964597502544,1.44630787091948,-7.97186848687379,-23.7485061033911,8.26605843492951,1110.65390296495,2060
NAM-44_GFDL-ESM2M_WRF,n,40.6718019370449,31.9972940940684,47.397366654983,136.046944388782,0.745682476666001,0.106243385837526,3011.24788894893,-7.09149408363339,-112.698765318113,98.3010186969497,0.727086744089307,0.000182699733892755,9.23011259439877,-7.09149408363339,-112.698765318113,98.3010186969497,426.188441026642,1990
NAM-44_HadGEM2-ES_RegCM4,y,38.1054460485829,25.9054941976586,52.1955481121188,95.7662227443499,0.633944752625378,0.314241056183911,1.66070518641192,-10.584628244144,-29.8675033763341,8.86966451771389,1.11203178457736,0.602704371860764,1.97882750297555,2.48355919721644,-10.7444898321081,17.1981566802252,1144.44929167703,2060
NAM-44_MPI-ESM-LR_CRCM5,n,49.8531472497542,41.3257683365094,56.5745887543581,135.184936043652,0.863682812959773,0.37527371526134,2.79065481073994,-4.24839543637108,-32.2095368624969,26.5813329406002,0.950438213026617,0.498644533308476,1.7318451796499,-1.43532362432057,-18.1520852802886,16.0568640684247,1188.85340661428,2059
NAM-44_MPI-ESM-LR_RegCM4,y,35.7726400762172,28.5656517147247,41.9994829346645,109.012310053784,0.953908129371723,0.406692089867879,3.346124206189,-0.968047727106679,-21.0821544840858,19.799067015614,1.17059871213698,0.603282074714202,2.04595552115523,3.5617248612852,-10.599283927807,16.4993041707699,1130.87638299152,2059
NAM-44_MPI-ESM-LR_WRF,n,39.9587020704028,28.1739789463016,49.2297433017613,131.754115555598,0.230738718419086,0.106729972556012,2.57640964163626,-44.5061316346522,-103.927027312363,17.3089371874081,0.0830214463864938,0.000213072880852554,2.12294531990098,-44.5061316346521,-103.927027312363,17.308937187408,424.751192613111,1990
NAM-44_MPI-ESM-MR_CRCM5,y,39.4522576180103,31.3288288951698,45.6694868394929,126.445135642258,0.677766489687941,0.277780791629876,2.66224097857505,-9.25250271648869,-35.4366091987223,17.5206748028171,0.781663678133376,0.3467002244163,1.55428006170031,-5.32914266943405,-20.4701823166983,10.3301674889902,1158.02891265606,2060
