"","est","2.5%","97.5%"
"mu0",20.7406955274262,15.2224703235765,28.7660211819013
"sigma0",8.53960060040111,5.51740126867123,11.1447507510095
"alpha_gmst",14.1415686530227,1.57623580552407,19.0901367090845
"alpha_nino",3.61825328261731,0.945305756770641,6.71954180131202
"shape",-0.285829245674837,-0.658251227107266,0.190209076528982
"disp",0.411731640778819,0.305663244987217,0.463473656471828
"event_magnitude",75.5622482299805,75.5622482299805,75.5622482299805
"return_period",6.22526249570537,2.59935774867834,149.748608927081
"PR_pi",Inf,2.57992697095426,Inf
"dI_abs_pi",44.4194960530992,5.63858674041449,58.9178465922348
"dI_rel_pi",142.631890080909,8.07930005605237,353.980499348854
"PR_neut",5.03002694249079,1.45581288897231,Inf
"dI_abs_neut",13.3123024385447,4.07933749012512,20.7871861780984
"dI_rel_neut",21.3852434235793,5.70705980714785,37.9569132811528
"PR_pineut",Inf,8.33081281063655,Inf
"dI_abs_pineut",49.9061212589225,15.4737162095456,61.5115336790982
"dI_rel_pineut",194.519310397942,25.7943925676424,437.782582459557
"aic",355.656943436833,334.2945122008,362.964814029191
