"","X","eval_sigma0_est","eval_sigma0_lower","eval_sigma0_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_dI.abs_est","attr_dI.abs_lower","attr_dI.abs_upper","attr_dI.rel_est","attr_dI.rel_lower","attr_dI.rel_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_dI.abs_est","proj_dI.abs_lower","proj_dI.abs_upper","proj_dI.rel_est","proj_dI.rel_lower","proj_dI.rel_upper","aic_eval","aic_attr","aic_proj","attr_nobs","attr_nsamp","attr_nfailed","proj_nobs","proj_nsamp","proj_nfailed"
"SAM-22_HadGEM2-ES_r1i1p1_RegCM4-7",x ~ gmst (rp5),0.299321144673705,0.236670098123239,0.346029327147209,5.45150186119444,2.60153605758857,0.863256053761008,17.2942234403304,-42.1862865253725,-89.4497067997508,8.07055227430112,-15.3240690939024,-31.0543195096802,3.00961044451638,1.45066744499036,1.07140577211665,1.92865902717947,-19.9073550749105,-34.6609822280675,-3.45566938133881,-8.80323835442388,-16.2498852736462,-1.46046770374357,583.055729249976,675.620805000031,1195.30723576088,56,1000,0,100,1000,0
"SAM-22_HadGEM2-ES_r1i1p1_REMO2015",x ~ gmst (rp5),0.298994913104654,0.245018907372637,0.336433274156857,5.54548157686801,2.48722220482958,0.85316290228866,14.5541241091688,-43.8785667419749,-95.1090929512725,9.24085736463248,-14.6283131169793,-29.9641236195913,3.1773436896954,1.6383067971648,1.22181996037212,2.16849360162826,-27.5836430828823,-43.5157784926374,-10.8005216738674,-11.4886749261119,-18.9524015219714,-4.25211608608848,590.551698981672,684.286789616558,1197.51513814241,56,1000,0,100,1000,0
"SAM-22_MPI-ESM-LR_r1i1p1_REMO2015",x ~ gmst (rp5),0.272451291494848,0.212789992211071,0.318403649401114,5.92755733194985,2.46038214340752,0.73765939159675,16.3091617680289,-59.5354613595956,-145.766523885185,26.2861320619169,-13.6934815459094,-30.2233519029313,6.46335684744433,2.05935782214781,1.52503811566812,2.73242708910037,-58.5655290116878,-81.9004320283256,-32.9650582825089,-19.3951670949916,-29.4293015619827,-9.9429635599099,616.096057557329,714.310210590189,1267.38125523496,56,1000,0,100,1000,0
"SAM-22_MPI-ESM-MR_r1i1p1_RegCM4-7",x ~ gmst (rp5),0.257083323307218,0.202992415634363,0.291897532595636,6.06856965377719,2.39007138009855,0.63451036953828,25.6651181769255,-66.0032409200252,-185.256307220439,40.9490710242315,-13.2519203484936,-31.3633529205459,9.33193565621127,1.93417909505117,1.43969419006384,2.53362583788537,-59.1108380550427,-87.646871124962,-30.5375632710627,-15.9960798397168,-25.0261570069045,-7.67315254560801,623.942004416766,728.345386388384,1283.75951889116,56,1000,0,100,1000,0
"SAM-22_NorESM1-M_r1i1p1_RegCM4-7",x ~ gmst (rp5),0.223316119570859,0.169862150717287,0.264379482997759,5.4944790079494,1.53198899031627,0.439558829345231,18.1403597426886,-16.5286318460174,-86.0265726938628,39.533725599733,-6.36026441635524,-27.2752509594455,17.5557846288176,1.92193244580612,1.29460248626422,2.68266984449135,-30.8028248086226,-48.1836876196665,-11.4718767453687,-15.3735080084441,-26.0262917348428,-5.0896462605885,547.453843473411,642.890060208615,1155.15868693884,56,1000,0,100,1000,0
"SAM-22_NorESM1-M_r1i1p1_REMO2015",x ~ gmst (rp5),0.220890472998724,0.174357128299898,0.254794424733664,5.49414694045247,1.78771001948707,0.449446655496687,20.4458718641478,-22.9370877320589,-96.3533015400658,40.1418406023127,-8.61645416463218,-31.2787210443216,16.5701472805125,1.95507538163871,1.33701928653008,2.74517258075729,-32.3058828843812,-49.8977786044629,-13.3876800997241,-16.0499460135526,-27.0454468562872,-5.73498508999803,547.961069945632,648.477781634709,1159.48549433196,56,1000,0,100,1000,0
"SAM-44_CanESM2_r1i1p1_RCA4",x ~ gmst (rp5),0.25756790199452,0.204551858013766,0.300654654127646,5.62172816532664,5.59467934791563,2.22086441221402,19.9487086758209,-73.6441930601531,-105.343862941144,-37.8916815035897,-21.040550510601,-30.2031650381621,-10.7131873967618,2.53767388846503,2.15682998993704,2.98821853229437,-54.4371414035232,-64.1143322993604,-44.5895253847287,-24.1342573309996,-29.8552527039407,-18.7009136783914,587.325951533497,916.496963325197,1422.90463567146,75,1000,0,119,1000,0
"SAM-44_CNRM-CM5_r1i1p1_RCA4",x ~ gmst (rp5),0.192362697853003,0.150785452676592,0.222876095507593,6.14845393463792,4.14249481717797,1.18466089051681,32.4695541451492,-86.7787038519297,-161.248449319708,-13.4851967258113,-15.6422289767805,-26.6101046908606,-2.77549771399441,1.56097813087632,1.15126375946983,2.12553388211174,-36.5680000664101,-62.5782338925722,-11.2895549293684,-8.13728468222191,-15.0134436623544,-2.29344697178582,598.165812338437,945.91154323223,1504.81212093264,75,1000,0,119,1000,0
"SAM-44_CSIRO-Mk3-6-0_r1i1p1_RCA4",x ~ gmst (rp5),0.209878279126196,0.162883055430065,0.246512906360816,5.69397214793361,6.16204737571166,1.19016033545498,86.8720380897986,-67.4328288818012,-127.157333453003,-8.10622432702767,-18.4998811136367,-31.8169807955547,-2.25858462495871,2.34639796264186,1.80015660444947,3.11048284547871,-48.7307405080691,-65.5947795713558,-32.758536968458,-19.984090536308,-29.1409579528302,-12.5103021506735,561.635422778694,876.293923997404,1404.19481919082,75,1000,0,119,1000,0
"SAM-44_EC-EARTH_r12i1p1_RCA4",x ~ gmst (rp5),0.247290593317045,0.178401155933582,0.293945692005772,6.00773671526774,6.31312647738653,1.72701406287961,39.4073116418571,-106.174596009253,-177.935510723677,-35.797675749053,-20.7074302024061,-33.107292148135,-7.15653142640902,1.96865015056864,1.54490369626336,2.61185814167571,-52.7839110283159,-73.9646801399902,-33.5012532412525,-14.0520656984078,-21.0217970663057,-8.46167654396187,615.90292831082,950.986386263146,1488.04793198555,75,1000,0,119,1000,0
"SAM-44_GFDL-ESM2M_r1i1p1_RCA4",x ~ gmst (rp5),0.191002645696727,0.153886725377823,0.219548364598188,6.13176406445538,4.04799701166642,0.984954842450558,36.0979217572739,-79.9286184615453,-164.721120851768,1.09973664489545,-14.7967741967924,-28.0910862943748,0.226462985341646,2.34455967532559,1.83065013696446,2.89921867368574,-63.8965811832871,-83.9682093653558,-42.9889826807751,-16.039312542103,-22.7249812197056,-10.2476738124807,593.082466395589,933.070355583584,1459.09440113402,75,1000,0,119,1000,0
"SAM-44_HadGEM2-ES_r1i1p1_RCA4",x ~ gmst (rp5),0.272484108351784,0.219638971602108,0.311310341971449,5.7384127154984,3.07698520791318,1.21142497586939,10.9157559505795,-56.9661054817125,-97.7998529307732,-11.5351457570832,-15.4994138334963,-26.3223795819076,-3.11351984696275,1.54040101157487,1.20915876851164,1.9665973779346,-27.2979280626412,-42.3806267489857,-11.4750329453065,-8.82979339870159,-14.5939172136635,-3.46721155958178,599.380740419392,925.707652347346,1452.21718259927,75,1000,0,119,1000,0
"SAM-44_HadGEM2-ES_r1i1p1_RegCM4-3",x ~ gmst (rp5),0.310683161646731,0.249048094663344,0.356896444229431,5.55101068094134,1.56234158963242,0.576052536149178,8.32163549178886,-24.610885756095,-85.4090224387048,37.7798827084984,-8.72390611425296,-28.0097463710083,14.5872359372626,1.17082363121601,0.840868300555457,1.63994056127975,-9.10991054450074,-29.0676516278583,9.9751992978477,-3.47151884603113,-11.6294036000682,3.44293957283166,593.770469103154,618.560224439848,1142.01195909453,50,1000,0,94,1000,0
"SAM-44_IPSL-CM5A-MR_r1i1p1_RCA4",x ~ gmst (rp5),0.26792575965487,0.210215073056171,0.30880303994978,5.70656354906504,2.1168275774373,0.858445509677665,7.7054937629383,-40.3465981946161,-87.5998031397366,9.94555863785792,-11.8255325683283,-24.6386814409672,3.05416359837888,1.92965426244298,1.54274072470937,2.41519027522707,-39.9047465535627,-54.225095273523,-25.6941580578334,-15.3333086938409,-21.866853918588,-9.44004953627345,592.004114916871,924.010203517646,1435.9923509095,75,1000,0,119,1000,0
"SAM-44_MIROC5_r1i1p1_RCA4",x ~ gmst (rp5),0.188592600686603,0.148661405500764,0.218516911451004,5.96774532741794,2.03773716407865,0.660891185925208,14.1282288390133,-35.8620150120299,-96.8842523002284,27.7594649220001,-8.40872106483525,-20.9570118587854,7.32586998431892,1.86735344171419,1.31346780699682,2.53531304899205,-39.7995964939417,-60.4291784470897,-16.1507457825317,-11.5880943770482,-18.5682986164998,-4.38448495404663,575.062224221422,901.121631905779,1435.72999446698,75,1000,0,119,1000,0
"SAM-44_MPI-ESM-LR_r1i1p1_RCA4",x ~ gmst (rp5),0.262519242099722,0.207275515899307,0.301779892275389,6.16069364741432,3.68120060231573,1.22159977933862,21.0917454461731,-95.7843636224772,-176.321764156561,-17.5100485610487,-16.8178187259578,-29.6846760746797,-3.15620642111338,2.20529986051807,1.65572064127536,2.87785948407878,-76.17252934664,-103.240722199326,-46.7886730529666,-19.1729176095416,-28.6340342450004,-10.5153871910071,633.874954154881,979.484928339262,1542.8024979546,75,1000,0,119,1000,0
"SAM-44_MPI-ESM-LR_r1i1p1_REMO2009",x ~ gmst (rp5),0.265386406701981,0.212912314753657,0.30673007336858,6.04919939673607,3.45004607567804,1.30536691113558,14.832170339563,-83.1550949766938,-147.02180495285,-20.3188055361243,-16.4037058025779,-27.7657924945198,-4.16699352823841,2.20452984928342,1.72402618928795,2.79073270505815,-68.9597152442816,-90.6666295682305,-46.7051110510784,-19.7377706911074,-28.2274204346685,-12.0408005386122,623.867018742666,978.057159335782,1534.53287736849,76,1000,0,120,1000,0
"SAM-44_NorESM1-M_r1i1p1_RCA4",x ~ gmst (rp5),0.179014597186492,0.139091913032379,0.209260299485009,5.6577847938423,12.4904293596087,2.49911192564426,149.101117964948,-85.8028923297097,-135.349398631367,-37.8862367307082,-23.0457081636481,-33.8454300908384,-11.0125033963561,2.41278473101067,1.82441334999115,3.13113118109985,-47.848102156853,-64.569124336611,-31.2861137479543,-18.9003326136858,-27.427267459179,-11.4007400615979,546.615346794545,876.554045582091,1389.31064738133,75,1000,0,119,1000,0
