year,t2m
1950,27.142175674438477
1951,27.763307571411133
1952,26.899066925048828
1953,27.765512466430664
1954,28.447477340698242
1955,28.99150276184082
1956,28.344270706176758
1957,27.20363998413086
1958,29.48711585998535
1959,28.938024520874023
1960,28.543886184692383
1961,29.113452911376953
1962,29.199729919433594
1963,27.60693359375
1964,27.881576538085938
1965,28.115474700927734
1966,28.34263801574707
1967,27.136640548706055
1968,28.20589828491211
1969,29.12323760986328
1970,29.489179611206055
1971,28.384929656982422
1972,28.510116577148438
1973,29.39754867553711
1974,28.694515228271484
1975,29.079870223999023
1976,28.444252014160156
1977,29.127635955810547
1978,30.007909774780273
1979,29.011484146118164
1980,29.89129638671875
1981,29.63022232055664
1982,28.457080841064453
1983,29.39640998840332
1984,29.33045768737793
1985,29.51190757751465
1986,28.68750762939453
1987,29.294429779052734
1988,30.949481964111328
1989,30.424922943115234
1990,30.15086555480957
1991,30.77955436706543
1992,28.88047981262207
1993,29.22845458984375
1994,30.14722442626953
1995,29.95125389099121
1996,30.616718292236328
1997,29.439281463623047
1998,30.169111251831055
1999,31.538429260253906
2000,30.56463623046875
2001,30.553272247314453
2002,29.710552215576172
2003,31.685592651367188
2004,31.063426971435547
2005,29.154430389404297
2006,30.02834701538086
2007,30.967561721801758
2008,30.20530128479004
2009,30.256328582763672
2010,30.733543395996094
2011,30.364160537719727
2012,31.28412628173828
2013,30.459430694580078
2014,30.27533721923828
2015,31.057626724243164
2016,31.657920837402344
2017,31.501638412475586
2018,31.748313903808594
2019,30.832456588745117
2020,30.877994537353516
2021,31.18655776977539
2022,31.804597854614258
2023,30.124971389770508
2024,30.85380744934082
2025,31.3171329498291
2026,31.199201583862305
