year,tmin
1979,22.730514526367188
1980,23.08673858642578
1981,23.531558990478516
1982,22.767351150512695
1983,23.431936264038086
1984,22.121170043945312
1985,22.546260833740234
1986,21.937484741210938
1987,23.796361923217773
1988,24.544231414794922
1989,23.404401779174805
1990,23.043346405029297
1991,25.15258026123047
1992,22.705081939697266
1993,23.556798934936523
1994,24.212276458740234
1995,23.42089080810547
1996,24.081039428710938
1997,22.152929306030273
1998,23.098167419433594
1999,24.25979995727539
2000,23.581727981567383
2001,22.989696502685547
2002,21.878572463989258
2003,24.898277282714844
2004,23.321531295776367
2005,22.252056121826172
2006,23.92205047607422
2007,24.53057098388672
2008,23.42022132873535
2009,23.923107147216797
2010,24.152774810791016
2011,24.087326049804688
2012,24.665163040161133
2013,24.338937759399414
2014,24.424240112304688
2015,25.754478454589844
2016,25.402462005615234
2017,25.898208618164062
2018,25.303327560424805
2019,24.64583396911621
2020,24.62385368347168
2021,24.835664749145508
2022,24.817190170288086
2023,23.528820037841797
2024,24.207130432128906
2025,24.631122589111328
2026,24.622421264648438
