year,tmin
1979,25.770647048950195
1980,25.73030662536621
1981,26.243793487548828
1982,25.309513092041016
1983,26.721712112426758
1984,24.739473342895508
1985,26.05016326904297
1986,23.960294723510742
1987,27.288972854614258
1988,26.70941925048828
1989,26.46958351135254
1990,26.24793815612793
1991,27.779176712036133
1992,26.081798553466797
1993,27.980669021606445
1994,28.94315528869629
1995,26.90610694885254
1996,26.72300148010254
1997,26.25006103515625
1998,25.954158782958984
1999,26.506608963012695
2000,26.020402908325195
2001,27.770103454589844
2002,26.48323631286621
2003,27.176992416381836
2004,25.897302627563477
2005,26.096586227416992
2006,25.77702522277832
2007,29.604515075683594
2008,26.68327522277832
2009,26.164339065551758
2010,26.913707733154297
2011,28.51276397705078
2012,28.335140228271484
2013,28.145763397216797
2014,27.239103317260742
2015,27.55199432373047
2016,28.904130935668945
2017,28.93871307373047
2018,27.67852020263672
2019,26.307886123657227
2020,27.228431701660156
2021,28.569360733032227
2022,26.982440948486328
2023,26.32936668395996
2024,27.867916107177734
2025,27.910160064697266
2026,27.72907066345215
