"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92"
"mu0",32.76157725551,32.4109638565907,32.8495505729088,33.4544171517153,33.7859126960335,32.6041841542977,32.5309829529382,33.5254836689907,33.3914140790812,34.952880218597,33.5135732786927,33.6092965599974,34.0111663604434,34.680574266407,34.6291170963649,32.7259972667928,31.0114366306469,33.905315037753,33.6388601017121,31.7940481336143,31.749666629846,32.9423092245812,34.0678267127556,32.8234263106552,33.105860918036,32.7091627243348,32.6059379602712,32.5162797695642,34.3225669384703,34.199119629804,33.0261354329969,33.8898517123964,33.894869058736,33.0367861947438,33.0003022996135,32.5350857942993,33.4510519878899,32.7170903665437,32.8370860247509,33.2045473314632,32.1491638012433,32.8606813931414,32.1997898959539,32.545499792298,31.5400790873227,33.0010968378833,33.1263380114386,32.6850849991811,32.5776954635367,33.4014858050215,35.5789910630446,33.7424562512128,34.1012738641306,33.8800041410108,32.5605553385031,32.8066586638897,33.213187381219,33.0253432719475,34.1818637949851,33.9553683844142,33.0716463879528,33.0905174302326,35.2024197539638,34.1513062419716,32.9705267369205,33.3736701560647,32.8036404752221,33.5043278538098,NA,33.6737965075058,34.083661184551,35.6337369593422,32.2577464973306,29.1574080217291,NA,31.9739724975665,26.1715604366234,31.3570037450577,34.8724497411622,33.2289857487322,30.1437066949317,30.6342207164391,36.4083425249496,34.0416456962776,31.7911199206557,32.5063675068717,36.4076154139056,32.0525069748127,32.9127459569751,34.8577425825068,33.8026131100416
"sigma0",0.354070923722079,0.374192902079114,0.356414024396679,0.441228354453939,0.526396421466888,0.551820509928499,0.531024999213599,0.531537429647802,0.536986375528508,0.484454124223939,0.405234324566899,0.351670043946078,0.43896399791847,0.537175361641486,0.483186080021364,0.392271966224138,0.352578992381554,0.41038360545133,0.462582483060593,0.511773725047458,0.510695651163861,0.50267065094759,0.346061057656089,0.336599462944687,0.553220896656325,0.497338300775428,0.542980903004263,0.662074878046744,0.402688652295624,0.471990311312363,0.441845048512145,0.425200674130133,0.412521267614371,0.461237538968999,0.580909904919141,0.453450383777492,0.498904341148402,0.353136446241082,0.390940525447025,0.503157299287101,0.332278714853214,0.490455447697417,0.655039022357213,0.426759250583103,0.507537821573277,0.529665803442041,0.422007137784038,0.415466909525468,0.451264596001354,0.400943445728286,0.690015914515113,0.476448117572691,0.433742977043393,0.418493181531855,0.545063596453557,0.489295684438779,0.570070428246296,0.55453857713741,0.455994159000336,0.499283684194159,0.563062604663206,0.713728102215055,0.551965200323531,0.3923109004418,0.43217379225565,0.540403001695806,0.436818395199876,0.827528913654982,NA,0.551298037394002,0.623827636609044,0.553552645038994,0.56283759910848,0.481027051433864,NA,0.478976095508637,0.469940357452223,0.50229430024807,0.511082361516082,0.562292330720069,0.446125439756433,0.549184336175544,0.80109263789035,0.735193557447967,0.564094647157747,0.597107898855794,0.889637436393223,0.633661463419248,0.586693249808152,0.714306493977334,0.700725650242489
"alpha_gmst",1.19171130726372,1.24122125069384,1.16902186901082,0.956325756880242,0.131166064493516,0.794569602389728,0.447513523584633,0.273267180241513,1.55798383504008,1.17258555218694,1.1002425185893,1.25610945630865,1.62501816022575,2.18350012462741,1.72475740901369,1.54037879290965,1.20292982290972,1.62792869011233,1.68895801925523,2.12020236197641,2.12201546369073,1.81323518987072,1.49142402928318,1.42419424908402,1.47847679916524,1.44384348772682,2.02344824117523,1.7995384439837,1.3511359676685,1.53198377089201,1.37069432432913,1.10567949968676,1.36436442473999,1.31341752929747,0.749579170346512,0.967141088780457,1.26089720301989,0.197482451425673,-0.0628307988035626,0.849988452678345,-0.219362200709277,0.131642537464391,-1.43763483198913,-0.379873061391644,-0.646823869005337,-0.432576414279054,0.777969439198602,0.535112326194593,-0.294521152545273,1.07396114229453,1.77371854146123,-0.646139910236238,0.775696743935755,0.962930503373938,1.22248279086281,1.15162913298037,0.672104888248334,0.615941708269859,0.843936666622808,0.699420597763533,1.10888823225507,1.97029051355355,0.47176144097808,-0.360281581440986,-0.0915777963395942,0.00469973205216664,-0.949730804223382,0.472773213873815,NA,0.0481501101163609,0.299103999163449,0.171068041079385,-0.45348884851345,-0.825271069879031,NA,-0.150148590966604,-0.767464772039329,-0.0919124154693415,0.402780371851555,0.557157224588512,-0.113346858517838,0.546305504269829,1.28808247749522,1.10946952748118,-0.387251454199916,0.680264848365779,1.48590137218214,-0.807759841927468,0.5511822148232,1.09908403474893,0.935183144451431
"alpha_nino",0.205158188017267,0.228773700380275,0.231704164756653,0.203299320654652,0.753838474760896,0.677169221255394,0.759153831574259,0.802269532919924,0.602692162682269,0.68892987910761,0.730159464967952,0.595592521585324,0.255396218702043,0.495534557986233,0.569725840577841,0.659118460074822,0.447405244477105,0.306262036113023,0.375886876206886,0.470882343468449,0.551510550953814,0.569197129624887,0.426975774662284,0.324552416931637,0.364067592182245,0.390846730048077,0.50407797010165,0.55326349144808,0.321093045708747,0.143165346819402,0.435525059944109,0.320072816702402,0.162809953635085,0.454034177522431,0.266768725121559,0.282735407905714,0.448572557538856,0.407567372883668,0.336254136209265,0.448397333615547,0.45155117424896,0.34806057012588,0.61067864515127,0.471001536728281,0.531777805414454,0.471874350747298,0.213440232401045,0.152427594512895,0.501342130821125,0.214962626971076,0.497896922066067,0.362015459758906,0.317886441504959,0.252937429236071,0.466230858633044,0.388344643523584,0.401583424826272,0.338381542279249,0.476971166030863,0.425188802542997,0.322974986087388,0.22795221793301,0.513615868010173,0.574605797608006,0.418423506743581,0.436908569295301,0.536501840207229,0.554815721550266,NA,0.468922150292068,0.549850872743488,0.517800822169605,0.480572650343829,0.499482919885075,NA,0.322764638117837,0.440289211776487,0.465183468126026,0.442620024802514,0.313265537941632,0.352076565195606,0.5281972870654,0.654608714915596,0.488374748263303,0.241816061473712,0.473984612171148,0.655583984521852,0.20487683287779,0.228876012507283,0.186992515200088,0.21238613699991
"shape",-0.175759945122705,-0.26433593724787,-0.306765473841768,-0.311956601488037,-0.224534018426345,-0.181884955150071,-0.17144726279511,-0.221077298745562,-0.211031035954626,-0.212775880595804,-0.228461975614588,-0.107474807489179,-0.171770794672458,-0.208758942216129,-0.299208319368022,-0.133284103913029,-0.0681642830637247,-0.0481354341831506,-0.131047819976643,-0.299396458966378,-0.27947227631117,-0.266611797607322,-0.0526068339687385,0.0348142799880659,-0.11383849858879,-0.26268271949707,-0.405608161868874,-0.392495623848114,-0.215771462693752,-0.209226709521104,-0.385252878633954,-0.271196315556912,-0.142016605058987,-0.455729254955511,-0.26830557097657,-0.434296554914626,-0.519036994792174,-0.121627641369688,-0.145998711887432,-0.57995918719802,-0.169254167331299,-0.102612252620876,-0.486794941594824,-0.299915340273,-0.204159700867661,-0.162140225350174,0.0141428360917277,0.0176806144853432,-0.0666888581678599,0.0453517683694563,-0.264432990671797,-0.439279070233143,-0.0224222533404458,-0.0766331201601253,-0.383085233693707,-0.223474684023906,-0.270876914944565,-0.327816423853628,-0.192316738745692,-0.208175870313201,-0.249527418770594,-0.308114132463702,-0.486679234349399,-0.0395958358569759,-0.106587028728247,-0.0843413104895454,-0.126530241239965,-0.349211262050227,NA,-0.355910943596017,-0.36873760631518,-0.296200949046018,-0.262519989168318,-0.154426386453704,NA,-0.152374036325243,-0.187392675085983,-0.232468767127022,-0.0145748108784977,-0.0796738332951605,-0.227356197110775,-0.206300432198361,-0.224448779176985,-0.215033452675986,-0.347500931933219,-0.238433634469723,-0.28704865934646,-0.273617919702909,-0.238330511311121,-0.358166509952585,-0.414516075838548
"disp",0.010776619420574,0.0115080800321021,0.0108149775982493,0.0131523618175166,0.0154228587897467,0.0167654715925327,0.0161511680514615,0.0156829655977804,0.0159498140739225,0.013736293180768,0.0119722686486929,0.0103792945547111,0.0128622626632397,0.0153885958454164,0.0138488950551598,0.0118770749164539,0.0112947434948556,0.012053981069534,0.0136814629312918,0.0159881533732428,0.0159582028256218,0.0151393984936955,0.0101000675538223,0.0102086564108935,0.016626978752485,0.0151221617701342,0.016535823742308,0.0202040010266537,0.0116824552071167,0.0137748500141162,0.0132983863445888,0.012492549733308,0.0121439141481179,0.0138740650650417,0.0175382819883372,0.0138820608603322,0.0148234826446758,0.0107324487618869,0.0118499214325937,0.0150601860167687,0.0102695171523029,0.0148532936472039,0.0201679041197103,0.0130264159290937,0.0159686148981108,0.0159455951143866,0.0127018671935736,0.0126841352703851,0.0137550701533219,0.0119685081047161,0.0192704922985731,0.0140511424545356,0.0126652259646439,0.0123101557065933,0.0166310078915667,0.0148341574208826,0.0170695197085474,0.0167129308630681,0.0132555823122028,0.0146203275415614,0.0169497803346075,0.021501172949217,0.0155757429658111,0.0113996519239729,0.0130321883588224,0.0160960545762094,0.0132172223018052,0.0245133816901121,NA,0.0162680411170282,0.0181686894101672,0.0154318798371461,0.0173299755349333,0.0163692549092894,NA,0.0149112966868575,0.0178189485986235,0.0159105417547463,0.0145711190097783,0.0168490436447029,0.0147212591238414,0.0177867925971776,0.0218234163444907,0.0214560073598595,0.0176822241712258,0.0182471800624566,0.0242357447140109,0.0197118170819511,0.0177691622960407,0.0204418587885159,0.0206704850796597
"event_magnitude",32.635696,32.384964,32.918327,33.09424,34.054943,32.692654,32.71829,33.76089,33.530178,35.13616,33.96676,34.43633,34.797115,34.827686,34.936527,33.501102,32.26885,34.43961,34.12708,32.193558,32.608513,34.135685,35.338337,34.161167,33.712723,33.310516,33.720318,33.87544,35.50709,35.014526,33.294178,33.99458,34.029278,33.082165,31.71684,31.946117,33.590607,32.23529,32.237354,33.29994,31.689976,32.126812,32.362675,32.181267,31.76342,33.026516,33.111633,32.192028,32.785458,33.0709,36.260544,33.77935,33.618114,33.3469,33.123592,33.209797,33.310196,32.367027,34.32195,33.819534,32.629482,32.54775,36.26428,34.897503,32.72786,32.84967,33.764153,34.832268,NA,34.31602,35.435993,36.418007,33.39177,30.258598,NA,32.66167,27.142206,32.331276,35.606796,33.728146,30.605843,31.513454,37.16416,34.67555,31.93391,33.243572,37.216793,31.993713,33.571297,35.501587,34.320736
"return_period",1.19745978224269,1.32875759195447,1.49272640161935,1.09573104957181,1.46156732171302,1.29739247434599,1.35385818277234,1.38888866646196,1.38391045313365,1.37292633849074,1.91621359923719,6.14135195030892,6.36868155879904,1.45844075766658,1.67749542582022,4.25027445922858,28.6686413498241,3.20434994482409,2.58699395709266,2.01939033830549,4.75283006293779,13.4541810693619,30.2308265467631,28.4981377170594,2.83893799836808,3.14667853979758,14.8096367537293,15.6265387057884,43.5564939564442,7.41073997081851,1.74408820950922,1.49763093883751,1.72910240174808,1.33336386405081,1.00157775586583,1.03679448158723,1.47300992133112,1.00413673219085,1.00424556753548,1.41408363082433,1.00365496227351,1.00496739548159,1.43966190417575,1.04592731291489,1.54659023578193,1.31936835183295,1.37165118990805,1.01983616296208,1.53901564726224,1.05270850575811,2.59942782322346,1.37929159691213,1.01580227268201,1.01337223012672,2.62774712490716,2.17696711778048,1.45604826448984,1.03784219087822,1.44114333306019,1.18460122097295,1.08593464533741,1.12122494208683,15.1308861713863,4.05872378537255,1.08048734992073,1.02932683178416,6.7723035484711,6.14875800850398,NA,3.01205106985999,17.8223955040135,3.74732620677843,8.8154225173546,8.91165544941103,NA,3.96918370911466,7.57344310293891,6.9934368557007,3.38237324175662,2.45744545868055,2.6200458506215,4.2914888301075,2.38428463787714,2.35815165453956,1.63672450704586,3.1870272243472,2.41296949061878,1.39454734144165,3.4419484291209,3.03471281218864,2.53688618184327
"PR_hist",155.536611639968,144201.705814739,Inf,8.41285872515299,1.19107200327818,3.91708781598302,1.97236928607158,1.45858632825918,162.301127570508,34.8923608655082,774.817221927372,1700.50867551273,Inf,832094954.903545,Inf,27551.3062291751,550.440557025724,251.475244423142,1581.80330008302,Inf,Inf,Inf,1738.21125365079,65.4506449331684,73.8166481778542,Inf,Inf,Inf,Inf,Inf,Inf,369.553382086135,279.699679859617,Inf,1.12457009474158,3.93347818098973,Inf,1.04173483610104,0.997526055222371,Inf,0.996409971003557,1.0130222307085,0.696555106744417,0.958047673338855,0.65994414435289,0.785168863591674,5.34414945215188,1.74347618220614,0.726686566253001,7.83788513936951,11905635.3335107,0.738875670686929,2.51949343527771,4.03224062342481,Inf,172.649063527395,3.57569429929933,1.41683815724322,9.74584627260306,3.09864990882171,5.01181766130787,72.2734807701724,Inf,0.421586134849423,0.962508648448079,1.00099159990386,0.160840771365323,4.85009441744389,NA,1.13033484626728,12.2775052365223,1.65736475050004,0.294668093358615,0.155936062852925,NA,0.694846059025232,0.177118144003148,0.742675577945286,2.36982586157607,3.12138728119201,0.773923809260023,5.97001515727576,16.6212638046418,11.8501318655227,0.709579548695223,7.85499133828842,45.2071403905129,0.727598558659084,5.19668541309505,901.115348759812,142.177934229533
"dI_abs_hist",1.43005356871647,1.48946550083261,1.40282624281298,1.14759090825629,0.157399277392223,0.953483522867671,0.53701622830156,0.327920616289816,1.86958060204809,1.40710266262433,1.32029102230716,1.50733134757038,1.9500217922709,2.62020014955289,2.06970889081642,1.84845455149158,1.44351578749167,1.9535144281348,2.02674962310627,2.54424283437169,2.54641855642888,2.17588222784486,1.78970883513982,1.70903309890083,1.77417215899828,1.73261218527218,2.42813788941027,2.15944613278044,1.62136316120221,1.83838052507042,1.64483318919496,1.32681539962411,1.63723730968798,1.57610103515696,0.899495004415819,1.16056930653655,1.51307664362387,0.236978941710802,-0.0753969585642764,1.01998614321401,-0.263234640851138,0.157971044957272,-1.72516179838696,-0.455847673669972,-0.776188642806407,-0.519091697134861,0.933563327038321,0.642134791433513,-0.353425383054329,1.28875337075344,2.12846224975348,-0.775367892283484,0.930836092722913,1.15551660404873,1.46697934903537,1.38195495957645,0.806525865897996,0.739130049923837,1.01272399994737,0.839304717316246,1.33066587870608,2.36434861626426,0.566113729173694,-0.432337897729184,-0.109893355607511,0.00563967846260027,-1.13967696506806,0.567327856648575,NA,0.0577801321396336,0.358924798996135,0.205281649295259,-0.544186618216138,-0.990325283854837,NA,-0.180178309159921,-0.920957726447192,-0.110294898563211,0.48333644622187,0.668588669506214,-0.136016230221408,0.655566605123795,1.54569897299426,1.33136343297742,-0.464701745039893,0.816317818038939,1.78308164661857,-0.969311810312966,0.661418657787841,1.31890084169872,1.12221977334172
