"year","fitted"
1979,159.345034429011
1980,164.545009399051
1981,169.368506385706
1982,173.832107553964
1983,177.952395068814
1984,181.745951095244
1985,185.21501233159
1986,188.335235388871
1987,191.083332301103
1988,193.436015102304
1989,195.369995826489
1990,196.861986507675
1991,197.989232462281
1992,198.820656281183
1993,199.320485910083
1994,199.452949294681
1995,199.18227438068
1996,198.472689113779
1997,196.43263848776
1998,192.834496275615
1999,188.638383591868
2000,184.804421551042
2001,182.292731267659
2002,180.553027424811
2003,178.556736209472
2004,176.546545991997
2005,174.765145142737
2006,173.455222032048
2007,172.85946503028
2008,172.920509461901
2009,173.383189763749
2010,174.193492974734
2011,175.297406133767
2012,176.640916279758
2013,178.170010451617
2014,179.964909084275
2015,182.117090329405
2016,184.589427801029
2017,187.344795113172
2018,190.346065879857
2019,193.556113715108
2020,196.967804219142
2021,200.609826190468
2022,204.498788040541
2023,208.65129818082
2024,213.083965022762
