"year","fitted"
1979,199.519074185452
1980,200.774605498797
1981,201.964143570807
1982,203.115766623949
1983,204.257552880691
1984,205.417580563501
1985,206.631369443344
1986,207.879393201293
1987,209.107160924984
1988,210.260181702052
1989,211.283964620131
1990,212.124018766857
1991,213.012693729365
1992,214.097505296885
1993,215.196711860189
1994,216.128571810051
1995,216.711343537245
1996,216.763285432543
1997,215.887019907466
1998,214.146108763745
1999,212.050219477471
2000,210.109019524738
2001,208.832176381634
2002,207.70135487837
2003,206.069635361206
2004,204.253808580314
2005,202.570665285867
2006,201.336996228037
2007,200.869592156995
2008,201.226529337278
2009,202.108299182397
2010,203.295315165984
2011,204.567990761675
2012,205.706739443103
2013,206.491974683902
2014,207.118579967413
2015,207.895552904073
2016,208.774478158162
2017,209.70694039396
2018,210.644524275747
2019,211.538814467803
2020,212.364018571211
2021,213.143520024762
2022,213.902667249299
2023,214.666808665666
2024,215.461292694704
