"","year","fitted"
"1",1983,195.795212976088
"2",1984,207.395990406762
"3",1985,217.885318276588
"4",1986,227.152189841521
"5",1987,235.274567054294
"6",1988,242.392495497531
"7",1989,248.788201819708
"8",1990,254.378149221208
"9",1991,258.753738112511
"10",1992,261.901964053847
"11",1993,263.651681919028
"12",1994,262.638132008992
"13",1995,259.401027779012
"14",1996,256.151268341445
"15",1997,253.30590080553
"16",1998,250.599653210443
"17",1999,247.301182809998
"18",2000,243.097552453478
"19",2001,239.803791041357
"20",2002,239.137476608599
"21",2003,238.280247958517
"22",2004,235.350552107583
"23",2005,232.339464148501
"24",2006,230.067046248617
"25",2007,228.323309738632
"26",2008,226.577672585992
"27",2009,225.169306913153
"28",2010,222.083058145307
"29",2011,217.956364991962
"30",2012,217.107289502043
"31",2013,224.223883102765
"32",2014,232.469516410594
"33",2015,237.165661778339
"34",2016,242.01866453166
"35",2017,246.636874962638
"36",2018,251.033286462769
"37",2019,255.629788252073
"38",2020,260.550783578776
"39",2021,265.684870967427
"40",2022,270.900037367385
"41",2023,276.123173156133
"42",2024,281.454004149789
