"year","fitted"
1979,250.211555889937
1980,244.748161314994
1981,239.699150333347
1982,235.113029227149
1983,231.038304278551
1984,227.523481769705
1985,224.620015542288
1986,222.285311987077
1987,220.426806209875
1988,218.951933316483
1989,217.768128412704
1990,216.78282660434
1991,216.582321296869
1992,217.522996146373
1993,219.167421634562
1994,221.078168243144
1995,222.817806453828
1996,223.948906748325
1997,225.166590441331
1998,227.022911955653
1999,228.865841435171
2000,230.043349023761
2001,229.903404865302
2002,227.625274001388
2003,223.439799942092
2004,218.272320534004
2005,213.048173623716
2006,208.692697057818
2007,206.131228682903
2008,205.060152358899
2009,204.485711772582
2010,204.298034510816
2011,204.387248160462
2012,204.643480308386
2013,204.956858541449
2014,205.385217630511
2015,206.07146955204
2016,207.033357701309
2017,208.288625473595
2018,209.855016264172
2019,211.750273468314
2020,213.963920897557
2021,216.470056677062
2022,219.263285672545
2023,222.338212749721
2024,225.689442774307
