"","year","fitted"
"1",1979,202.567493674352
"2",1980,205.518604510035
"3",1981,208.366628608904
"4",1982,211.140226533002
"5",1983,213.743545396031
"6",1984,216.170941826812
"7",1985,218.551998262561
"8",1986,220.860339310907
"9",1987,222.856384856283
"10",1988,224.737180684743
"11",1989,226.50125651452
"12",1990,227.611258128322
"13",1991,227.975548953955
"14",1992,227.876015893341
"15",1993,227.335589940356
"16",1994,227.480359232735
"17",1995,227.856102537055
"18",1996,226.115286790461
"19",1997,221.358335509846
"20",1998,215.25593620882
"21",1999,209.315951819609
"22",2000,200.675731259549
"23",2001,192.065835993461
"24",2002,184.367870908892
"25",2003,175.071776707283
"26",2004,168.987738862929
"27",2005,168.231030141958
"28",2006,170.102131740519
"29",2007,172.189041777933
"30",2008,176.40810463324
"31",2009,183.299538991768
"32",2010,188.387154432281
"33",2011,191.148898721367
"34",2012,193.73504592312
"35",2013,195.677895062558
"36",2014,196.170661612073
"37",2015,195.8370090711
"38",2016,196.354908505216
"39",2017,197.712074313427
"40",2018,199.018944639325
"41",2019,200.637576165369
"42",2020,202.577584993963
"43",2021,204.66772016895
"44",2022,206.998737784944
"45",2023,209.733313390697
"46",2024,212.764709504653
