"","year","fitted"
"1",1979,211.127020094495
"2",1980,209.448727801786
"3",1981,208.381156589633
"4",1982,208.158044737191
"5",1983,208.401604582631
"6",1984,208.898444574093
"7",1985,209.836970646835
"8",1986,211.241255585216
"9",1987,212.651408111027
"10",1988,215.66331560899
"11",1989,220.238870666872
"12",1990,223.467189811033
"13",1991,224.872461881867
"14",1992,225.609856203046
"15",1993,225.214960025843
"16",1994,223.422482686937
"17",1995,220.385475600871
"18",1996,216.26703913571
"19",1997,210.84337076347
"20",1998,204.57286963862
"21",1999,198.6419386529
"22",2000,190.955082056131
"23",2001,183.201109086638
"24",2002,175.34761391772
"25",2003,165.842911013034
"26",2004,159.270941182615
"27",2005,157.300261832945
"28",2006,157.544655246847
"29",2007,158.505899548865
"30",2008,161.841316390922
"31",2009,167.624086293226
"32",2010,171.979775682744
"33",2011,174.50518379343
"34",2012,177.098328346838
"35",2013,179.33660350134
"36",2014,180.82102325339
"37",2015,181.928787321476
"38",2016,183.40156844703
"39",2017,185.233540018332
"40",2018,187.041785187994
"41",2019,189.00234134394
"42",2020,191.119162451322
"43",2021,193.313492036486
"44",2022,195.637301829151
"45",2023,198.197072614087
"46",2024,200.929382420895
