"year","fitted"
1979,216.426053352181
1980,218.529249585587
1981,220.586601450236
1982,222.675572945066
1983,224.873628069017
1984,227.258230821029
1985,229.894388484955
1986,232.705202229612
1987,235.555276881385
1988,238.309217266661
1989,240.831628211827
1990,242.987114543268
1991,245.529504811296
1992,248.919311644317
1993,252.581165985857
1994,255.939698779443
1995,258.419540968601
1996,259.445323496858
1997,258.249130539822
1998,255.104313166725
1999,250.997402661527
2000,246.914930308189
2001,243.843427390673
2002,240.658768649232
2003,236.077592237622
2004,230.847574560056
2005,225.716392020747
2006,221.431721023909
2007,218.741237973756
2008,217.701099383858
2009,217.614520990138
2010,218.099768030343
2011,218.775105742217
2012,219.258799363506
2013,219.169114131956
2014,218.794147887047
2015,218.630617176373
2016,218.60971529985
2017,218.662635557394
2018,218.720571248921
2019,218.714715674347
2020,218.624274526914
2021,218.495365613826
2022,218.359550405944
2023,218.248390374129
2024,218.193446989243
