"year","fitted"
1979,195.093995164699
1980,200.735954343138
1981,206.050874118288
1982,211.042393752205
1983,215.714152506946
1984,220.069789644568
1985,224.110098957621
1986,227.830020595397
1987,231.224413355065
1988,234.288136033793
1989,237.016047428749
1990,239.403006337101
1991,241.419605232435
1992,243.050856225246
1993,244.313247568062
1994,245.223267513412
1995,245.797404313827
1996,246.052146221835
1997,245.472773565039
1998,243.910546371873
1999,241.930922446114
2000,240.099359591537
2001,238.981315611918
2002,238.471999067703
2003,238.042949700454
2004,237.624122085627
2005,237.145470798678
2006,236.536950415062
2007,235.728515510233
2008,234.399033253686
2009,232.549600482278
2010,230.593516272515
2011,228.944079700901
2012,228.014589843942
2013,228.218345778142
2014,229.279260762763
2015,230.674799910619
2016,232.448590078547
2017,234.644258123381
2018,237.305430901955
2019,240.475735271104
2020,244.188079216162
2021,248.428732593805
2022,253.171365067887
2023,258.389646302261
2024,264.057245960781
