"","year","fitted"
"1",1950,226.569302340713
"2",1951,233.968270121564
"3",1952,240.767261725295
"4",1953,246.777471291228
"5",1954,251.810092958685
"6",1955,255.857538689227
"7",1956,259.108606981129
"8",1957,261.669071778782
"9",1958,263.644707026579
"10",1959,265.141286668911
"11",1960,265.822585835227
"12",1961,265.490737822224
"13",1962,264.459053825165
"14",1963,263.040845039313
"15",1964,261.549422659929
"16",1965,258.003391645269
"17",1966,251.739756528143
"18",1967,245.04942786564
"19",1968,240.223316214851
"20",1969,237.375396569693
"21",1970,234.969165751531
"22",1971,232.819817058629
"23",1972,230.74254378925
"24",1973,228.552539241656
"25",1974,226.228019767892
"26",1975,223.95667857113
"27",1976,221.86792422633
"28",1977,220.091165308451
"29",1978,218.755810392455
"30",1979,217.641707708187
"31",1980,216.546509794862
"32",1981,215.62633169149
"33",1982,215.03728843708
"34",1983,214.935495070643
"35",1984,215.534504590158
"36",1985,216.683509031986
"37",1986,217.992081992703
"38",1987,219.069797068887
"39",1988,221.04008517017
"40",1989,224.551773706817
"41",1990,228.502531026347
"42",1991,231.79002547628
"43",1992,233.311925404138
"44",1993,233.59756337481
"45",1994,233.77767930932
"46",1995,233.65205258939
"47",1996,233.02046259674
"48",1997,231.682688713093
"49",1998,228.437801768885
"50",1999,223.083612813568
"51",2000,216.918011557386
"52",2001,211.238887710579
"53",2002,207.344130983392
"54",2003,203.791890708947
"55",2004,199.201594968216
"56",2005,194.96305159322
"57",2006,192.466068415979
"58",2007,191.69521229458
"59",2008,191.631827447161
"60",2009,192.16088774582
"61",2010,193.167367062657
"62",2011,194.536239269769
"63",2012,196.310054731254
"64",2013,198.614610411262
"65",2014,201.459750081961
"66",2015,204.855317515525
"67",2016,208.809231358657
"68",2017,213.3157405609
"69",2018,218.364184348685
"70",2019,223.943901948443
"71",2020,230.044232586604
"72",2021,236.645293560658
"73",2022,243.74591356076
"74",2023,251.363498902346
"75",2024,259.515455900851
