"year","fitted"
1979,218.101823893197
1980,217.542544902501
1981,216.965918896962
1982,216.420667595273
1983,215.955512716129
1984,215.619175978222
1985,215.456363037449
1986,215.420521640206
1987,215.423486640936
1988,215.377092894082
1989,215.193175254089
1990,214.783568575398
1991,214.638448339012
1992,215.048172712933
1993,215.624850582105
1994,215.980590831475
1995,215.727502345988
1996,214.477694010588
1997,211.264586759811
1998,206.158854484967
1999,200.328485506167
2000,194.941468143519
2001,191.165790717133
2002,188.092092473122
2003,184.37405952629
2004,180.524250499781
2005,177.055224016741
2006,174.479538700315
2007,173.309753173647
2008,173.723637198632
2009,175.286587365119
2010,177.592602538183
2011,180.235681582901
2012,182.809823364348
2013,184.909026747601
2014,186.853285029255
2015,189.17638074678
2016,191.792996626557
2017,194.617815394968
2018,197.565519778394
2019,200.550792503218
2020,203.542317396555
2021,206.593927063914
2022,209.748027399264
2023,213.047024296572
2024,216.533323649809
