"","year","fitted"
"1",1979,251.602465802384
"2",1980,260.179496827552
"3",1981,267.155117315194
"4",1982,272.347000552381
"5",1983,276.027255611544
"6",1984,278.309740728829
"7",1985,278.698269581421
"8",1986,277.286198399558
"9",1987,275.071699248963
"10",1988,270.784571488183
"11",1989,264.256736097955
"12",1990,258.13954757729
"13",1991,251.922081545224
"14",1992,244.607059375269
"15",1993,238.116304198155
"16",1994,232.588953025016
"17",1995,227.289739621438
"18",1996,222.828882249829
"19",1997,220.612103565301
"20",1998,219.981767673877
"21",1999,218.45305501433
"22",2000,216.675489646993
"23",2001,214.678625563705
"24",2002,209.261360884283
"25",2003,202.044671044376
"26",2004,196.846897353765
"27",2005,194.147396583651
"28",2006,192.130423118714
"29",2007,191.171664688954
"30",2008,191.471683206046
"31",2009,192.542585002391
"32",2010,193.727374439074
"33",2011,197.113940587134
"34",2012,202.619943103977
"35",2013,206.333042230236
"36",2014,207.133562286722
"37",2015,207.062583301736
"38",2016,206.948899077149
"39",2017,206.782931727262
"40",2018,206.169162055896
"41",2019,205.357471899203
"42",2020,204.362202701173
"43",2021,203.062745535176
"44",2022,201.506556681434
"45",2023,199.820223527183
"46",2024,197.939112311097
