"","year","fitted"
"1",1981,205.446076997518
"2",1982,205.596641661415
"3",1983,205.854491411268
"4",1984,206.11003072236
"5",1985,206.417769398487
"6",1986,206.916029124318
"7",1987,207.737073055241
"8",1988,208.81608338969
"9",1989,209.995760376909
"10",1990,211.773559228123
"11",1991,213.49679304417
"12",1992,214.819991928213
"13",1993,216.01339777276
"14",1994,216.118065345495
"15",1995,215.19823957971
"16",1996,213.856360515424
"17",1997,211.940775580402
"18",1998,209.833787254458
"19",1999,207.761297742112
"20",2000,205.337054058202
"21",2001,198.8322182338
"22",2002,192.0338385572
"23",2003,187.200827009222
"24",2004,181.532018950222
"25",2005,178.324875850166
"26",2006,179.441700814949
"27",2007,183.019761108401
"28",2008,186.768964437392
"29",2009,191.092363710051
"30",2010,196.667329404567
"31",2011,201.615245582904
"32",2012,206.99619059543
"33",2013,212.305449977898
"34",2014,216.332017080565
"35",2015,220.266499908049
"36",2016,223.485515281931
"37",2017,225.893630734924
"38",2018,227.861822563977
"39",2019,229.466320737025
"40",2020,230.720532388627
"41",2021,231.579212229029
"42",2022,232.030611589695
"43",2023,232.106578435648
"44",2024,231.811780248597
