"year","fitted"
1979,170.336572481107
1980,169.94378497175
1981,169.677209684914
1982,169.559456253806
1983,169.613134311637
1984,169.860853491615
1985,170.318856442534
1986,170.96200743702
1987,171.750848544029
1988,172.645921832517
1989,173.607769371438
1990,174.596933229749
1991,176.033020591445
1992,178.135747945822
1993,180.56582131979
1994,182.983946740255
1995,185.050830234126
1996,186.427177828312
1997,186.952884659657
1998,186.862104945576
1999,186.406933333832
2000,185.839464472187
2001,185.411793008404
2002,185.231581656374
2003,185.148618384594
2004,185.028185722743
2005,184.735566200496
2006,184.136042347529
2007,183.09489669352
2008,181.256496708038
2009,178.641525733195
2010,175.679740107481
2011,172.800896169385
2012,170.434750257397
2013,169.011058710008
2014,168.233897526764
2015,167.569356927498
2016,167.090214581125
2017,166.869248156558
2018,166.979235322713
2019,167.492953748504
2020,168.442026431399
2021,169.783999089302
2022,171.480533471782
2023,173.493291328409
2024,175.783934408753
