"","year","fitted"
"1",1979,258.695514767123
"2",1980,253.855227134243
"3",1981,249.167943053711
"4",1982,244.732783424108
"5",1983,240.34335973323
"6",1984,235.8949711512
"7",1985,231.292026260038
"8",1986,226.588402151284
"9",1987,221.90360075935
"10",1988,217.691674805473
"11",1989,213.833897564848
"12",1990,209.590601802817
"13",1991,204.039537409647
"14",1992,197.672737044477
"15",1993,191.871957625957
"16",1994,186.052224993737
"17",1995,179.590879104095
"18",1996,173.81314805063
"19",1997,170.97157803322
"20",1998,170.415975894291
"21",1999,169.117460691267
"22",2000,166.545741596952
"23",2001,163.732749143262
"24",2002,157.517012952076
"25",2003,148.733560912059
"26",2004,142.691591519479
"27",2005,140.834004354931
"28",2006,140.709509509782
"29",2007,141.786021246448
"30",2008,144.464859407632
"31",2009,148.536382159312
"32",2010,152.552061248821
"33",2011,157.607149545773
"34",2012,164.141572844784
"35",2013,169.723812280692
"36",2014,174.768664869411
"37",2015,179.892329901745
"38",2016,182.965391924866
"39",2017,183.980965397413
"40",2018,184.226269428587
"41",2019,183.513045541408
"42",2020,181.885206943351
"43",2021,179.393064255341
"44",2022,175.857955120565
"45",2023,171.094866534532
"46",2024,165.274071321901
