"","year","fitted"
"1",1950,338.479821617826
"2",1951,336.258117521249
"3",1952,334.073334132278
"4",1953,331.889799529631
"5",1954,329.671841792028
"6",1955,327.416736383076
"7",1956,325.157729070288
"8",1957,322.913103388236
"9",1958,320.701142871492
"10",1959,318.54013105463
"11",1960,316.357147216068
"12",1961,314.11512273378
"13",1962,311.886119291677
"14",1963,309.742198573668
"15",1964,307.755422263663
"16",1965,305.761139397174
"17",1966,303.667067810615
"18",1967,301.653822389243
"19",1968,299.90201801832
"20",1969,298.245527869585
"21",1970,296.497742162004
"22",1971,294.808551351668
"23",1972,293.327845894671
"24",1973,292.205516247106
"25",1974,291.767445788012
"26",1975,292.001604972645
"27",1976,292.551014871416
"28",1977,293.058696554741
"29",1978,293.167671093029
"30",1979,293.507299280139
"31",1980,294.552671325611
"32",1981,295.715402423393
"33",1982,296.407107767429
"34",1983,296.039402551664
"35",1984,294.846279871421
"36",1985,293.407985588329
"37",1986,291.655514045794
"38",1987,289.519859587223
"39",1988,286.697309184504
"40",1989,283.167972865958
"41",1990,279.288579559634
"42",1991,275.415858193582
"43",1992,271.906537695855
"44",1993,267.98241765172
"45",1994,263.059047897998
"46",1995,257.78378274006
"47",1996,252.803976483282
"48",1997,248.766983433037
"49",1998,245.119373025801
"50",1999,241.178029931734
"51",2000,237.395781306737
"52",2001,234.22545430671
"53",2002,232.119876087555
"54",2003,231.10247381775
"55",2004,230.731530191111
"56",2005,230.762155651544
"57",2006,230.949460642953
"58",2007,231.418092630864
"59",2008,232.363898268573
"60",2009,233.64878678164
"61",2010,235.134667395626
"62",2011,236.683449336089
"63",2012,238.349830954199
"64",2013,240.302489596621
"65",2014,242.574302982159
"66",2015,245.198148829616
"67",2016,248.187783753301
"68",2017,251.520175366379
"69",2018,255.173017885941
"70",2019,259.124005529078
"71",2020,263.350832512881
"72",2021,267.834459622425
"73",2022,272.584868376251
"74",2023,277.62328409165
"75",2024,282.970932085911
