"","year","fitted"
"1",1950,229.694103837269
"2",1951,227.41513965717
"3",1952,225.263645048654
"4",1953,223.230682446727
"5",1954,221.307314286393
"6",1955,219.472367387869
"7",1956,217.723192974738
"8",1957,216.078640087054
"9",1958,214.557557764873
"10",1959,213.178795048247
"11",1960,211.916133281026
"12",1961,210.747401729913
"13",1962,209.697521319244
"14",1963,208.791412973356
"15",1964,208.053997616585
"16",1965,207.331270381321
"17",1966,206.551445258062
"18",1967,205.862771458311
"19",1968,205.413498193569
"20",1969,205.458215213865
"21",1970,205.956514994389
"22",1971,206.614150834388
"23",1972,207.136876033106
"24",1973,207.230443889789
"25",1974,207.096971121631
"26",1975,207.0655009807
"27",1976,207.032176568553
"28",1977,206.893140986746
"29",1978,206.544537336837
"30",1979,206.801679851247
"31",1980,208.050668597773
"32",1981,209.543825431029
"33",1982,210.533472205632
"34",1983,210.271930776197
"35",1984,207.97405315073
"36",1985,204.164025286063
"37",1986,200.05816996005
"38",1987,196.872809950547
"39",1988,193.988173673349
"40",1989,190.31871052866
"41",1990,186.382074770942
"42",1991,182.695920654658
"43",1992,179.777902434271
"44",1993,177.910001466816
"45",1994,176.746050712528
"46",1995,175.861481830674
"47",1996,174.831726480521
"48",1997,173.232216321336
"49",1998,170.460042545821
"50",1999,166.719432546869
"51",2000,162.796522284035
"52",2001,159.477447716873
"53",2002,157.548344804939
"54",2003,156.210464767587
"55",2004,154.622258189509
"56",2005,153.505660078268
"57",2006,153.582605441428
"58",2007,155.347204508059
"59",2008,158.355446621333
"60",2009,161.922085459958
"61",2010,165.361874702644
"62",2011,167.989568028099
"63",2012,170.173546213436
"64",2013,172.659528873413
"65",2014,175.328277943211
"66",2015,178.060555358008
"67",2016,180.913239409455
"68",2017,183.990398410102
"69",2018,187.243579326473
"70",2019,190.624329125095
"71",2020,194.084194772493
"72",2021,197.530219292162
"73",2022,200.959718080816
"74",2023,204.45964666481
"75",2024,208.116960570498
