"year","fitted"
1979,199.154058883836
1980,196.079349574129
1981,193.338676700717
1982,191.013733985491
1983,189.186215150337
1984,187.937813917146
1985,187.362293887372
1986,187.39150065094
1987,187.864250912442
1988,188.619361376472
1989,189.495648747621
1990,190.331929730482
1991,192.164164962402
1992,195.619999857278
1993,199.925778284527
1994,204.307844113565
1995,207.992541213809
1996,210.206213454675
1997,211.047360750426
1998,211.200551423254
1999,210.771231954466
2000,209.864848825371
2001,208.586848517278
2002,205.617392843696
2003,200.326541493242
2004,193.854587759881
2005,187.341824937579
2006,181.928546320302
2007,178.755045202017
2008,177.422861701837
2009,176.703834291516
2010,176.49370379398
2011,176.688211032155
2012,177.183096828968
2013,177.874102007344
2014,178.881093170906
2015,180.375512930177
2016,182.330466118435
2017,184.719057568956
2018,187.514392115017
2019,190.689574589896
2020,194.215083791051
2021,198.091332265086
2022,202.336325468996
2023,206.968068859771
2024,212.004567894407
