"year","fitted"
1979,173.737099773515
1980,170.727818557313
1981,168.007344998502
1982,165.593969744696
1983,163.505983443509
1984,161.761676742554
1985,160.372877669308
1986,159.318159464801
1987,158.56593059697
1988,158.084599533752
1989,157.842574743085
1990,157.808264692908
1991,158.370054219345
1992,159.724777891612
1993,161.553518777282
1994,163.537359943928
1995,165.357384459122
1996,166.694675390438
1997,167.599540077347
1998,168.342065137843
1999,168.933002557276
2000,169.383104320995
2001,169.703122414352
2002,170.017250858958
2003,170.393874353537
2004,170.760030899114
2005,171.042758496711
2006,171.169095147353
2007,171.066078852063
2008,170.768099784981
2009,170.343724357013
2010,169.771254924329
2011,169.0289938431
2012,168.095243469496
2013,166.948306159688
2014,165.58355795235
2015,164.02462410097
2016,162.292180783933
2017,160.406904179626
2018,158.389470466434
2019,156.260555822744
2020,154.025059657902
2021,151.66744058566
2022,149.17771359101
2023,146.545893658945
2024,143.761995774458
