"","year","fitted"
"1",1983,204.821182763599
"2",1984,210.342881213524
"3",1985,214.664732337862
"4",1986,217.514153481311
"5",1987,219.282583343639
"6",1988,220.273798225753
"7",1989,220.127512944426
"8",1990,218.829002653162
"9",1991,217.200384157968
"10",1992,212.957341174981
"11",1993,208.14617364784
"12",1994,204.176872248371
"13",1995,199.560128869112
"14",1996,197.265036488385
"15",1997,199.817610919529
"16",1998,203.617162785192
"17",1999,207.689239696449
"18",2000,213.099172846988
"19",2001,216.685672803017
"20",2002,218.185485204734
"21",2003,219.200694875709
"22",2004,219.535404253922
"23",2005,219.60662768403
"24",2006,219.970452367301
"25",2007,218.156322996309
"26",2008,214.350898070218
"27",2009,213.09608550018
"28",2010,217.126104721175
"29",2011,223.793220754604
"30",2012,229.566409891249
"31",2013,235.773958250377
"32",2014,241.871004965032
"33",2015,245.878698253634
"34",2016,249.525511709186
"35",2017,252.03168920501
"36",2018,253.532454791157
"37",2019,254.004575317265
"38",2020,253.094910303154
"39",2021,251.122083128011
"40",2022,248.076297653593
"41",2023,243.895284162188
"42",2024,238.615714318693
