"year","fitted"
1979,231.66629600897
1980,231.906317076318
1981,232.135889766337
1982,232.394746813124
1983,232.722620950778
1984,233.159244913396
1985,233.737873543946
1986,234.417698395772
1987,235.127357268534
1988,235.795487961892
1989,236.350728275505
1990,236.721716009035
1991,237.255230719418
1992,238.17780617708
1993,239.237711501913
1994,240.18321581381
1995,240.762588232665
1996,240.72409787837
1997,239.599815221515
1998,237.477312982269
1999,234.938113654897
2000,232.563739733662
2001,230.935713712828
2002,229.482141822337
2003,227.463945047444
2004,225.211868015385
2005,223.056655353395
2006,221.329051688709
2007,220.359801648564
2008,220.416140410973
2009,221.262926591991
2010,222.477339975916
2011,223.636560347045
2012,224.317767489675
2013,224.098141188105
2014,223.302083002196
2015,222.482912898448
2016,221.561188271111
2017,220.457466514438
2018,219.092305022681
2019,217.38626119009
2020,215.313948459037
2021,212.927935000441
2022,210.265710301381
2023,207.364763848935
2024,204.262585130181
