"","year","fitted"
"1",1979,168.820523878917
"2",1980,173.947961785905
"3",1981,178.200888155605
"4",1982,181.470564568587
"5",1983,183.912853566466
"6",1984,185.588614956777
"7",1985,186.144106194776
"8",1986,185.651223367588
"9",1987,184.809284230544
"10",1988,182.991898014793
"11",1989,180.040577854881
"12",1990,177.356497361241
"13",1991,174.848554087253
"14",1992,171.860482599797
"15",1993,168.945712029551
"16",1994,166.084248470524
"17",1995,163.155240430677
"18",1996,160.560830661618
"19",1997,159.10866255465
"20",1998,158.553763307818
"21",1999,157.719351382842
"22",2000,153.162665114702
"23",2001,149.082228026017
"24",2002,148.846921723608
"25",2003,149.218143528733
"26",2004,150.569813256213
"27",2005,155.600687526435
"28",2006,163.345663594195
"29",2007,168.682872225927
"30",2008,169.639670858406
"31",2009,169.346443780045
"32",2010,170.335862034741
"33",2011,171.353244753189
"34",2012,171.578431578159
"35",2013,174.195874321659
"36",2014,181.483239392374
"37",2015,190.844244268199
"38",2016,198.15241736496
"39",2017,203.302458228966
"40",2018,208.561142940358
"41",2019,213.360114715707
"42",2020,217.737572360641
"43",2021,221.911648277738
"44",2022,225.583886079004
"45",2023,228.228138697305
"46",2024,230.172015670855
