"year","fitted"
1979,159.981317890654
1980,162.529851081498
1981,165.022930998011
1982,167.496431470737
1983,169.986226330221
1984,172.528189407009
1985,175.163293513465
1986,177.862331139566
1987,180.555905632272
1988,183.174620338543
1989,185.649078605339
1990,187.909883779622
1991,190.391607472489
1992,193.352704184117
1993,196.459601595082
1994,199.378727385961
1995,201.776509237329
1996,203.319374829763
1997,203.958493046617
1998,203.966466106808
1999,203.49187169426
2000,202.683287492897
2001,201.689291186643
2002,199.727635693619
2003,196.364684864208
2004,192.271932780729
2005,188.120873525501
2006,184.583001180842
2007,182.32980982907
2008,181.014776081072
2009,179.885893762784
2010,179.006432779092
2011,178.439663034884
2012,178.248854435046
2013,178.497276884466
2014,179.150340531336
2015,180.138488067825
2016,181.472538214783
2017,183.163309693064
2018,185.221621223521
2019,187.658291527004
2020,190.467664127041
2021,193.634884902713
2022,197.156976108201
2023,201.030959997688
2024,205.253858825357
