"","year","fitted"
"1",1983,154.402859248182
"2",1984,165.911325273404
"3",1985,175.691076214201
"4",1986,183.373604797423
"5",1987,189.393509642065
"6",1988,194.162381521636
"7",1989,197.436874015984
"8",1990,199.168822949358
"9",1991,200.06259246187
"10",1992,198.056925620069
"11",1993,194.778830981596
"12",1994,191.437078809094
"13",1995,186.633038769393
"14",1996,182.692372345523
"15",1997,182.464653294006
"16",1998,182.94930062631
"17",1999,181.180641360532
"18",2000,178.965939559498
"19",2001,177.015030155743
"20",2002,174.141838507169
"21",2003,171.298284992529
"22",2004,170.321433869332
"23",2005,170.203450017104
"24",2006,170.593811832681
"25",2007,171.742425210634
"26",2008,173.608874776282
"27",2009,175.407157022587
"28",2010,176.246199734758
"29",2011,176.775099925666
"30",2012,178.518107929767
"31",2013,183.72427965498
"32",2014,189.302783122068
"33",2015,193.305470385462
"34",2016,197.375260091577
"35",2017,200.413170632111
"36",2018,202.466275261798
"37",2019,204.030970433659
"38",2020,205.002631757583
"39",2021,205.482828867029
"40",2022,205.35585598648
"41",2023,204.502443269256
"42",2024,203.026223977682
