"","year","fitted"
"1",1981,252.31258949054
"2",1982,256.139562768128
"3",1983,260.179144125935
"4",1984,264.5436414499
"5",1985,269.075056798629
"6",1986,273.655815699583
"7",1987,278.347440742841
"8",1988,283.172668607406
"9",1989,287.955745954117
"10",1990,293.785451759734
"11",1991,299.65754961405
"12",1992,306.887969738332
"13",1993,315.414729727271
"14",1994,319.855684221393
"15",1995,318.062231563147
"16",1996,313.269512246966
"17",1997,308.170994141353
"18",1998,301.402081537114
"19",1999,292.352401941467
"20",2000,284.846758047533
"21",2001,275.330288559501
"22",2002,266.040871999653
"23",2003,260.614959402128
"24",2004,255.576353372757
"25",2005,252.769993689333
"26",2006,253.886861868794
"27",2007,257.801377998324
"28",2008,262.133639711092
"29",2009,266.820697993747
"30",2010,272.705555850721
"31",2011,278.767238941859
"32",2012,287.304952586849
"33",2013,295.904264068694
"34",2014,302.554762597254
"35",2015,309.434876172871
"36",2016,314.736431586096
"37",2017,318.367536110136
"38",2018,321.362767166727
"39",2019,323.603656769211
"40",2020,325.126026660935
"41",2021,325.942287200666
"42",2022,325.898853324872
"43",2023,324.877102068659
"44",2024,323.017579955164
