"year","fitted"
1979,165.874875644567
1980,165.50784893479
1981,165.216228045458
1982,165.034163014299
1983,164.995803879042
1984,165.135300677416
1985,165.465165194038
1986,165.939367224747
1987,166.504243824105
1988,167.106132046673
1989,167.691368947013
1990,168.206291579686
1991,169.070913516093
1992,170.522637792331
1993,172.233885660008
1994,173.87707837073
1995,175.124637176103
1996,175.648983327733
1997,174.819013990305
1998,172.716488068983
1999,170.083119426095
2000,167.660621923966
2001,166.190709424924
2002,165.416500921933
2003,164.623177862635
2004,163.865547791374
2005,163.198418252494
2006,162.676596790339
2007,162.354890949251
2008,162.317470663679
2009,162.53961465901
2010,162.912793666003
2011,163.328478415413
2012,163.678139637999
2013,163.853248064517
2014,163.941624409697
2015,164.09281874778
2016,164.290895848789
2017,164.519920482749
2018,164.763957419682
2019,165.007071429613
2020,165.254174010336
2021,165.523400693999
2022,165.81865230215
2023,166.143829656339
2024,166.502833578117
