"","year","fitted"
"1",1979,189.132702642368
"2",1980,184.949498509219
"3",1981,181.274009113881
"4",1982,178.162736658038
"5",1983,175.487470567841
"6",1984,173.155785732523
"7",1985,170.977072552593
"8",1986,169.044168393346
"9",1987,167.689818591191
"10",1988,167.941184299883
"11",1989,169.518973159945
"12",1990,170.796250237939
"13",1991,172.127234224751
"14",1992,173.628042771408
"15",1993,173.314589384676
"16",1994,171.048021525675
"17",1995,168.129074123242
"18",1996,164.733041885719
"19",1997,160.201946394113
"20",1998,154.98490219056
"21",1999,150.917843425098
"22",2000,146.166168496067
"23",2001,141.377097909736
"24",2002,137.2992452447
"25",2003,132.538687140481
"26",2004,129.440285500408
"27",2005,130.251877288499
"28",2006,133.764853323139
"29",2007,137.139406289216
"30",2008,138.193202441828
"31",2009,138.492055232984
"32",2010,140.818378142932
"33",2011,147.150073685819
"34",2012,155.587162309216
"35",2013,163.095234393512
"36",2014,170.678271505327
"37",2015,178.914002530977
"38",2016,184.128638830389
"39",2017,186.454815701374
"40",2018,188.032726474648
"41",2019,188.199919559496
"42",2020,186.995729272517
"43",2021,184.666005561338
"44",2022,180.85807028178
"45",2023,175.132551732758
"46",2024,167.858481795814
