"year","fitted"
1979,207.962338060721
1980,204.739366656867
1981,201.829683369562
1982,199.270412333415
1983,197.098677683036
1984,195.351603553035
1985,194.049788145476
1986,193.147821796586
1987,192.583816842222
1988,192.295885618241
1989,192.222140460498
1990,192.300693704851
1991,193.057821969692
1992,194.798040748239
1993,197.12682068859
1994,199.649632438841
1995,201.97194664709
1996,203.699233961433
1997,204.744333433715
1998,205.391893364485
1999,205.805098274897
2000,206.147132686107
2001,206.58118111927
2002,206.989155836975
2003,207.185299290532
2004,207.231291284177
2005,207.188811622144
2006,207.119540108669
2007,207.085156547984
2008,207.088556549042
2009,207.071560606876
2010,207.004235854847
2011,206.856649426314
2012,206.598868454638
2013,206.200960073179
2014,205.696229104759
2015,205.137284343552
2016,204.523148879946
2017,203.85284580433
2018,203.125398207092
2019,202.339829178621
2020,201.504835377396
2021,200.626472871647
2022,199.699803866388
2023,198.719890566631
2024,197.681795177391
