"","year","fitted"
"1",1981,195.83609480693
"2",1982,199.073793095119
"3",1983,202.094175624103
"4",1984,204.742687544573
"5",1985,207.144594439042
"6",1986,209.476898434522
"7",1987,211.751384179067
"8",1988,213.916837148528
"9",1989,216.055760711611
"10",1990,218.069607570827
"11",1991,219.852236452113
"12",1992,221.455888397481
"13",1993,222.740655800593
"14",1994,223.489428092769
"15",1995,224.398145131418
"16",1996,225.481868265419
"17",1997,225.502169163306
"18",1998,225.189297947477
"19",1999,225.157861558361
"20",2000,223.995966891539
"21",2001,217.761309794798
"22",2002,211.051790831708
"23",2003,205.911965348134
"24",2004,199.353742636744
"25",2005,195.226567587003
"26",2006,195.175198326825
"27",2007,197.140112451532
"28",2008,199.414334051704
"29",2009,202.375146082309
"30",2010,206.574568600327
"31",2011,210.567731349354
"32",2012,215.264358716884
"33",2013,220.088618583729
"34",2014,223.549860476345
"35",2015,226.823995880124
"36",2016,230.237662717048
"37",2017,233.74026724338
"38",2018,237.24289082323
"39",2019,241.014684040358
"40",2020,245.087768695181
"41",2021,249.313441392422
"42",2022,253.689614922299
"43",2023,258.265462987206
"44",2024,263.029791875278
