"year","fitted"
1979,135.769957093435
1980,141.200594063787
1981,146.254348284055
1982,150.939812022836
1983,155.265577548726
1984,159.240237130321
1985,162.853794923104
1986,166.086762038714
1987,168.933491179983
1988,171.388335049742
1989,173.445646350823
1990,175.099777786056
1991,176.189484354559
1992,176.648600416712
1993,176.614097717244
1994,176.222948000883
1995,175.612123012358
1996,174.918594496398
1997,173.171039819173
1998,169.977899770875
1999,166.345791232263
2000,163.281331084098
2001,161.791136207141
2002,161.641117702182
2003,161.88922453008
2004,162.480130361701
2005,163.358508867906
2006,164.469033719559
2007,165.756378587523
2008,167.488929541668
2009,169.786029217838
2010,172.368786135848
2011,174.95830881552
2012,177.275705776669
2013,179.042085539117
2014,180.498619862449
2015,182.028432640486
2016,183.565560594393
2017,185.044040445335
2018,186.397908914477
2019,187.561202722983
2020,188.521073701184
2021,189.32874831631
2022,190.014375244881
2023,190.608103163413
2024,191.140080748426
