"","year","fitted"
"1",1983,183.284962703588
"2",1984,188.614259039231
"3",1985,193.158552737341
"4",1986,196.722180623583
"5",1987,199.53381871863
"6",1988,201.820192793734
"7",1989,203.506912862955
"8",1990,204.551664923851
"9",1991,205.229288722927
"10",1992,204.465096195885
"11",1993,203.085261550737
"12",1994,201.850212328419
"13",1995,199.97302214045
"14",1996,198.258793247664
"15",1997,198.591477108874
"16",1998,199.170614579177
"17",1999,197.981226327274
"18",2000,196.336785633251
"19",2001,194.508457769462
"20",2002,190.1581616052
"21",2003,185.848034602093
"22",2004,184.266210407101
"23",2005,183.323071811475
"24",2006,183.473485692506
"25",2007,185.004070782869
"26",2008,187.567794924553
"27",2009,190.66904865882
"28",2010,195.250298209949
"29",2011,201.142793695599
"30",2012,206.184101497105
"31",2013,211.24155888623
"32",2014,216.061355883989
"33",2015,219.075460676384
"34",2016,221.532302971202
"35",2017,223.81242055633
"36",2018,225.95704626949
"37",2019,227.645365089038
"38",2020,228.794207096596
"39",2021,229.468978035025
"40",2022,229.730007395025
"41",2023,229.636202508596
"42",2024,229.148509191394
