"year","fitted"
1979,197.158374030412
1980,198.392905898856
1981,199.732464883477
1982,201.199747180202
1983,202.817448984957
1984,204.60826649367
1985,206.570011387768
1986,208.663660290879
1987,210.856656812222
1988,213.116444561021
1989,215.410467146496
1990,217.706168177869
1991,220.288930416664
1992,223.331730921731
1993,226.633404748279
1994,229.992786951518
1995,233.208712586658
1996,236.080016708907
1997,238.79436318499
1998,241.54372411772
1999,244.133396916442
2000,246.3686789905
2001,248.054867749239
2002,249.404969143867
2003,250.662460582442
2004,251.678346659581
2005,252.303631969904
2006,252.38932110803
2007,251.786418668578
2008,250.19571278539
2009,247.682177035069
2010,244.643094176372
2011,241.475746968058
2012,238.577418168883
2013,236.345390537607
2014,234.47518140566
2015,232.461598596551
2016,230.400860607146
2017,228.389185934315
2018,226.522793074925
2019,224.897900525844
2020,223.570595384936
2021,222.495314597586
2022,221.615801431951
2023,220.875799156182
2024,220.219051038436
