"","year","fitted"
"1",1981,222.334562861701
"2",1982,218.093456466139
"3",1983,214.079211569955
"4",1984,210.027120405308
"5",1985,206.170243005135
"6",1986,202.814272159901
"7",1987,200.024772687349
"8",1988,197.703426758297
"9",1989,195.910103192826
"10",1990,194.353217098423
"11",1991,193.005741485114
"12",1992,191.979434538935
"13",1993,191.001503197295
"14",1994,189.95182626114
"15",1995,190.071738756533
"16",1996,191.293607196733
"17",1997,191.533857613481
"18",1998,191.972418528023
"19",1999,193.526217654872
"20",2000,193.71717981566
"21",2001,188.774546321931
"22",2002,183.084198491237
"23",2003,177.507673658749
"24",2004,169.903234626344
"25",2005,165.522854424733
"26",2006,166.435495130347
"27",2007,169.823965858677
"28",2008,173.611010199015
"29",2009,177.667999126844
"30",2010,182.75420487724
"31",2011,188.124222928888
"32",2012,196.046249734882
"33",2013,204.12216847279
"34",2014,210.950398668075
"35",2015,218.343478771866
"36",2016,223.377712738064
"37",2017,225.836110625711
"38",2018,227.350967446269
"39",2019,227.772514582264
"40",2020,227.149864927823
"41",2021,225.51164851315
"42",2022,222.677372424891
"43",2023,218.483673933702
"44",2024,213.093250123647
