"year","fitted"
1979,140.378380828536
1980,142.349813480662
1981,144.116138237577
1982,145.641577839469
1983,146.890355026529
1984,147.826692538944
1985,148.409358999533
1986,148.666807964963
1987,148.667789576193
1988,148.481053974182
1989,148.175351299889
1990,147.819431694273
1991,146.938281810698
1992,145.262229114231
1993,143.168034963387
1994,141.032460716684
1995,139.232267732639
1996,138.144217369766
1997,137.808442624348
1998,137.908397313074
1999,138.285824025076
2000,138.782465349485
2001,139.24006387543
2002,140.094211106593
2003,141.649731773289
2004,143.552218304601
2005,145.447263129616
2006,146.980458677417
2007,147.797397377089
2008,147.912174543429
2009,147.675005664398
2010,147.235663428824
2011,146.743920525539
2012,146.349549643372
2013,146.202323471153
2014,146.185415133606
2015,146.101217335207
2016,145.978332134419
2017,145.845361589705
2018,145.730907759528
2019,145.66357270235
2020,145.660060557655
2021,145.70749451573
2022,145.790105211238
2023,145.892123278846
2024,145.997779353217
