"","eval_disp_est","eval_disp_lower","eval_disp_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_dI.rel_est","attr_dI.rel_lower","attr_dI.rel_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_dI.rel_est","proj_dI.rel_lower","proj_dI.rel_upper"
"SAM-22_MOHC-HadGEM2-ES_RegCM4-7",0.14575988743919,0.114488717579691,0.169137343696762,720.658834140179,2.34124495951298,0.7943447712404,8.6131873175844,-6.39415117874476,-13.9164933099317,1.76225963585627,1.09002715361331,0.778418342227054,1.67382879883018,-0.950606264378631,-5.63525601305502,2.56212774763293
"SAM-22_MOHC-HadGEM2-ES_REMO2015",0.118868263633367,0.0923088467668189,0.137168783616926,1158.47575978195,3.17216889877486,0.702814613360512,29.0988374565304,-6.18646713364909,-13.3149834183982,1.97319483072453,1.46215791082937,0.99309599797001,2.34211467847703,-2.59085225029359,-5.85986113454107,0.042783037295037
"SAM-22_MPI-M-MPI-ESM-LR_REMO2015",0.137054552332125,0.107060109255532,0.161538908160292,1042.93891475985,2.05038622457146,0.489692778644196,16.9258431937556,-5.0938669707492,-16.4316715107742,5.2845778381535,0.926663153695356,0.505375955873817,1.62922089623764,0.545781218128804,-3.35572756181095,4.65948033844027
"SAM-22_MPI-M-MPI-ESM-MR_RegCM4-7",0.132350888570107,0.10432848312945,0.155533889913639,832.572998597002,0.702342708939822,0.139881286211127,3.10936253857915,2.57441067252212,-7.16903759224389,15.6175133413819,0.605203821158413,0.310477914432447,1.21190872288899,3.53350230691242,-1.34553342752844,7.98079510920465
"SAM-22_NCC-NorESM1-M_RegCM4-7",0.174322141169952,0.138223988504982,0.198850165480681,639.188496474699,0.479346999258493,0.119505018862929,1.79620274627303,8.50974818193325,-5.97665181299717,26.6889718499499,1.00383791990763,0.595314590338099,1.83842335591855,-0.0408847636497,-6.07183106329188,5.2231566010501
"SAM-22_NCC-NorESM1-M_REMO2015",0.150020909071383,0.112032661403542,0.180286736643796,997.097039344834,1.94919356652629,0.378059905673963,10.4993981134922,-5.20425629398643,-16.275424692706,7.91769601234015,1.51846175959801,0.870844864644881,2.80808138321861,-3.52466247129438,-8.14292266614033,1.18766768654329
"SAM-44_CCCma-CanESM2_RCA4",0.12299907631411,0.0955359056703037,0.14263004345767,1406.10253385952,1.1107884602792,0.445895474655151,3.14124920537517,-0.617803073577054,-6.21600809195873,4.85967068592452,1.00108571042797,0.717697251986444,1.33469315250393,-0.00652461584797018,-1.81243321336292,1.85921011673729
"SAM-44_CCCma-CanESM2_WRF341I",0.14235079289127,0.112867870192242,0.164240967119982,1055.6545680009,5.18840836920802,2.06428661964056,18.5368263834561,-11.333767870989,-17.405288683962,-5.36584438373449,2.23791245261121,1.7013871876451,3.03149898814351,-5.94537965485254,-7.94136501795181,-3.89490132471179
"SAM-44_CNRM-CERFACS-CNRM-CM5_RCA4",0.109650288565188,0.082411825148629,0.130893625433007,1336.15703786993,1.42876755639501,0.340572237882599,8.14893971590528,-1.84735780808274,-9.37782009646759,5.64800008063803,0.589842492579801,0.363642658314055,0.918865182061185,2.49903021212371,0.417820742981037,4.47021609575601
"SAM-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_RCA4",0.156035914674665,0.119215458717438,0.181600390762851,825.701269927278,1.74811990714996,0.359766840537498,14.3149049612707,-4.92349504852618,-21.2452169014461,8.63585215875671,1.21845521423854,0.764769531511533,1.91717670293232,-1.87351762331487,-6.27158423582986,2.06936528466465
"SAM-44_ICHEC-EC-EARTH_RCA4",0.138559141462577,0.108290708523076,0.16178109622774,1116.06484902229,1.22856890055222,0.34006613259427,6.57089999889271,-1.41892946197328,-11.0481437489715,7.85953705371005,0.709958504419221,0.475063969381363,1.10251493256364,2.2187884307053,-0.651286691788089,4.52471287617059
"SAM-44_IPSL-IPSL-CM5A-MR_RCA4",0.142616897233224,0.114963830049824,0.161140635858304,1026.80218352075,1.78414652591309,0.554500918286973,7.55972119785361,-4.22631916737743,-12.1696899254328,4.53858387148317,0.726597078187472,0.495646727081744,1.01188125923235,2.41906190108529,-0.0961143696671254,5.04725207338953
"SAM-44_MIROC-MIROC5_RCA4",0.10499457569484,0.0830531005203947,0.120083598688123,1407.11007633828,0.233713211575392,0.0618617703732378,0.993776237792824,7.74839681474964,0.0253475382069284,16.3439623262336,0.389767436825869,0.186283772963464,0.731722499334096,4.42377768095447,1.57521221426785,6.92238169308036
"SAM-44_MOHC-HadGEM2-ES_RCA4",0.0999065234814523,0.0793681778026347,0.113144120390835,1408.27957890677,0.60802952649613,0.206753350314674,1.62227214541431,2.62409404428292,-2.29547920472897,8.24728510884261,0.537985018519885,0.330556427591714,0.804635219024735,3.1897769496721,1.16167745720716,5.08623287213998
"SAM-44_MPI-M-MPI-ESM-LR_RCA4",0.0940597473566473,0.0667976475145073,0.119104149671827,1294.970933193,1.12579252943594,0.370753075503346,4.15556440156953,-0.493604820654621,-5.47158917837744,3.75704939277544,0.526081017322988,0.3054621423747,0.887627439095311,2.80356604781583,0.550559466263114,4.69646302455627
"SAM-44_NCC-NorESM1-M_RCA4",0.108917010046229,0.0828573797079495,0.128373427864246,1383.70209266156,0.210185278787262,0.0466091525863128,0.894821651123846,9.39591800342519,0.561012994382882,19.079655127064,0.299455966412614,0.1362324762987,0.559783764181999,6.35702555468367,3.36662316135126,8.9507047660695
"SAM-44_NOAA-GFDL-GFDL-ESM2M_RCA4",0.139673071358558,0.0980799788520803,0.177430448821766,1059.33891906557,0.996564966857912,0.293245058185249,3.18766785433909,0.0266897725550949,-7.6440867562711,9.97606128760188,0.565576556148998,0.317703684923206,0.99563956079865,4.32662471545484,0.0293274409202561,8.49560001719948
