"","eval_disp_est","eval_disp_lower","eval_disp_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_dI.rel_est","attr_dI.rel_lower","attr_dI.rel_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_dI.rel_est","proj_dI.rel_lower","proj_dI.rel_upper"
"CanESM5",0.169078638605436,0.112532666886099,0.213293963197296,739.954966847065,1.86243486634641,0.847855114639345,6.78270247855803,-4.53135672261813,-11.2753602626245,1.29373768632944,1.67387425659688,1.35203433817724,2.27536788278729,-4.12425365713475,-6.14222289079271,-2.28801785266442
"CMCC-ESM2",0.0976422348021923,0.0778395916084973,0.11258062879271,949.816650434672,0.692110684259167,0.280032813354437,1.90235399801801,1.80553816575562,-2.89213043899681,6.55325826156146,0.431668373915767,0.298390441533737,0.618940720243885,3.84536740620441,2.19957856092427,5.15084829393466
"EC-Earth3",0.135337054200519,0.108330551324641,0.155906901368042,1036.58493760078,1.86749864216585,0.928180689804484,4.55630329485928,-3.74749215755955,-8.77713097381723,0.453018588142719,1.10112318310115,0.881025986677422,1.45102287113296,-0.611595454628651,-2.51478325721861,0.747694293772091
"INM-CM4-8",0.112688413352855,0.0886526282534867,0.129439494109452,891.759132103914,0.124950778103462,0.0531470963769457,0.345705371329251,13.4262460002501,6.59588499885096,20.3570174001416,0.527817042316472,0.33998327359924,0.783439621182068,3.48001331802873,1.32035228497149,5.54803017255322
"INM-CM5-0",0.126361676819594,0.0986612678897489,0.145229218405449,890.383325961349,0.245471273529538,0.0983467515362874,0.827151023335194,9.61237266600276,1.07210866256722,16.9256979796562,1.00062412221901,0.640360382765931,1.54217799032523,-0.00414136066640042,-2.8968616791478,2.9027748275577
"IPSL-CM6A-LR",0.0627167560657727,0.0498806427006615,0.0727670280056206,1080.37501335082,0.675378645925814,0.312225818421829,1.35253722159511,1.17814040560448,-0.882760331639717,3.66824595413888,0.931813889542628,0.67491546782416,1.26263870103749,0.201711417447473,-0.677690943657921,1.06073321204234
"MIROC6",0.158728627420974,0.127707974274254,0.181520121083925,854.622422085543,2.13133661472384,0.565459336325243,9.94631819394663,-5.26855741837332,-14.3443145420958,4.30618836474422,1.35805458238227,0.928828128174969,2.25628429958736,-2.38203727834426,-6.05994003109859,0.542386680024683
"MPI-ESM1-2-HR",0.0913468774321257,0.0686127589511878,0.106691690072756,1457.18666085993,0.90203223768365,0.331843863281936,2.86928717630533,0.457382363830283,-4.31775759623437,4.96647480615947,0.910779096295399,0.559455820101734,1.46073909314869,0.427147647383697,-1.71665719269443,2.62722370996603
"MPI-ESM1-2-LR",0.1058715586577,0.0842051660455074,0.121419896571498,1518.20673731721,0.539511296842396,0.203883657005615,1.4278737204208,3.44759910521805,-1.9996456760528,9.51767898924106,0.640718531919158,0.401152822067348,0.999684688201615,2.33845589856549,0.00168744460387016,4.61809441201736
"MRI-ESM2-0",0.123433147697786,0.0952711702750919,0.144649139994157,996.189742812989,7.40723215980164,2.60772884178306,23.3724362479095,-11.3140092687902,-16.2053533906161,-5.57585257720279,1.58882805563952,1.15331424444452,2.31730649708851,-3.11989259188307,-5.69976755006864,-0.974823180159971
"NorESM2-MM",0.151531364499145,0.120136182535119,0.176602701712786,836.079179608886,0.996750767523733,0.351420153234235,2.65507368747481,0.0303277653363869,-8.56450876239081,9.72283640639484,1.73615661579928,1.22097843720574,2.56993794735819,-5.36104630312141,-9.22149308043804,-1.85097858023787
