"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha.gmst_est","alpha.gmst_lower","alpha.gmst_upper","disp_est","disp_lower","disp_upper","event.magnitude_est","event.magnitude_lower","event.magnitude_upper","return.period_est","return.period_lower","return.period_upper","PR.pi_est","PR.pi_lower","PR.pi_upper","dI.abs.pi_est","dI.abs.pi_lower","dI.abs.pi_upper","dI.rel.pi_est","dI.rel.pi_lower","dI.rel.pi_upper","PR.2000_est","PR.2000_lower","PR.2000_upper","dI.abs.2000_est","dI.abs.2000_lower","dI.abs.2000_upper","dI.rel.2000_est","dI.rel.2000_lower","dI.rel.2000_upper"
"chirps",1125.05838961113,1035.4348320126,1213.70898443565,127.016240699262,99.1754130096732,144.404049548698,-91.9638693355303,-218.41787894602,53.8555626093186,0.112897465475693,0.0882255223905788,0.128254584011572,829.574428091742,758.003579234659,940.390885027676,100,100,100,6.02672384647485,0.328225575229355,169.298493436745,-85.4973745007163,-221.822425296224,48.7338176002146,-9.34324216509531,-22.2254521046314,5.59742385250743,2.07120564391864,0.619690917047402,7.53667122130337,-34.6076988024726,-85.4461059946836,20.6289165107117,-4.00467652887583,-9.94338941142234,2.29525468262906
"era5-1979",1177.84453714055,1015.01408479528,1298.83849632759,167.546775271213,123.428622759026,186.003435932198,-383.418248039117,-612.551279437072,-248.917716162592,0.142248632980008,0.105533955948096,0.163187561169975,788.072452685963,668.568036681784,944.230427749637,100,100,100,167.500269859504,34.0075393882371,148822.394760466,-376.629435599096,-748.837757434095,-236.874363964083,-32.3369816248565,-51.1810055584167,-20.8637650001771,8.25605144009552,4.23056000945144,145.185075328287,-139.297621218105,-248.303462627143,-92.1029748234798,-15.0207155846302,-25.8271814112769,-9.28974108791796
"era5",1151.52486744835,1075.17909595618,1276.99116223063,213.882264465138,178.032469206761,250.694364087872,-336.707398421733,-429.362949782493,-155.536387489938,0.185738294075296,0.150117697030161,0.213328461325766,653.960316214836,568.175087449885,800.299451985559,100,100,100,16.2234121784309,3.82304222653262,70.0272785274886,-274.872036431542,-381.772424055423,-118.961940231815,-29.5932883526712,-37.7742248622574,-13.6359823359441,3.27737640082532,1.7522030930447,6.0728521610649,-102.9519379761,-137.46460153469,-47.5803877565953,-13.6015683992519,-17.9356946842826,-5.92549238324175
"merge",1076.73261869035,976.319025083164,1140.56960307496,164.792554458386,93.9569294415407,194.328120170866,-181.460912221518,-353.940987214193,-130.91716671193,0.15304872500178,0.0840462775773808,0.195008972811089,693.367809968328,544.466305928917,905.068658423552,100,100,100,10.2214815109123,5.54865333808121,5896.40049449247,-155.408500093108,-372.345057492243,-116.399900659002,-18.3097122587999,-34.6436987086589,-12.9722275724341,2.60837181548534,2.03025177281583,33.2698094950403,-60.9586314502965,-137.523353272971,-46.2745715689221,-8.08120040650499,-16.2400445997938,-5.62489700643894
"mswx",1059.5049885648,903.83508197992,1162.31469795047,152.949691863286,106.58940512887,172.814595809445,-369.593289499556,-574.317191186475,-239.520693989176,0.144359576891159,0.105070199466364,0.168358522711293,703.69079806344,591.107325167219,858.397884136085,100,100,100,207.89925544586,34.6264573849329,486993.137104667,-365.804395204093,-706.117429716322,-228.2770011954,-34.2034632326382,-53.4912915425317,-21.7854356070711,9.11861862823044,4.26707653169692,224.119027335905,-134.090395996096,-231.663844283026,-88.4170211003186,-16.0054196664824,-27.3104935607568,-9.73144061976808
