"","eval_sigma0_est","eval_sigma0_lower","eval_sigma0_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_dI.rel_est","attr_dI.rel_lower","attr_dI.rel_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_dI.rel_est","proj_dI.rel_lower","proj_dI.rel_upper"
"CanESM5",0.679101603153955,0.577654998635515,0.740614561210798,6.89436972020719,15.1954344594189,5.68273406477484,50.1955687378978,126.404001771932,73.5746623563231,194.325453887412,3.01487566397522,2.4820631871023,3.79761354923962,34.7818041819526,29.5323529643739,39.8757569770798
"CMCC-ESM2",0.356776842670056,0.269491129651465,0.423336981831654,6.66343779384502,1.95468255576519,0.845005787182171,5.6093157346739,15.1625308715892,-3.52258986218645,40.0665241896957,1.14163387179901,0.78985189666995,1.64762664482176,2.87720621190235,-5.09931233310832,10.8619768831173
"EC-Earth3",0.987341928949103,0.677438060299331,1.2399098800595,6.33089242613214,2.04398137836643,0.797759576537053,5.56780397314706,32.5473378461942,-8.97577681610523,83.2581086278655,0.911399171190938,0.663040769261243,1.27801589060573,-3.92672792445792,-17.1999027006441,9.94694231282961
"INM-CM4-8",0.806188948225368,0.570285949355366,0.963512486624865,6.78956108924746,0.496286391729611,0.168352405084674,1.58173140212825,-21.7639725138049,-48.9714965931625,16.2582306878452,1.20872573762358,0.802820795615207,1.6947360353926,5.9816026428716,-7.21115376169067,16.3114669806395
"INM-CM5-0",0.669247246481309,0.496775570293189,0.812400512986344,6.89845454944975,0.886353548380725,0.283263805120484,3.57025136590805,-3.37204691467263,-31.7583739881534,40.1898136784042,1.68358128438569,1.12282027169978,2.34038580345822,13.7908719270831,3.11078923848694,22.1801187514589
"IPSL-CM6A-LR",0.441330091243005,0.337756708552442,0.51175460362997,5.92624251790802,2.04296952592681,0.85673972629705,6.87719322314123,14.012495305768,-3.18282010552038,37.0973271655444,2.17847555392318,1.64121651497872,2.86896189674233,14.7122105039573,9.50988375217713,19.5463156771324
"MIROC6",0.425909309926247,0.337136897664417,0.488262876685252,6.79055414203142,1.98857135573351,0.507350806019808,10.1611215895904,15.9092772552677,-13.8304494436662,59.1529705590719,1.5086426732621,0.875540546508799,2.44645546080212,9.34020622731564,-3.02719142980659,19.9478041374933
"MPI-ESM1-2-HR",0.799976729175592,0.578760340147633,0.973952172668525,4.79496145272877,2.23886227317263,0.662241451582688,8.95797566258665,28.8524068663716,-13.0348176810154,87.7233631331677,1.89814513237636,1.27694953094193,2.71618112071531,19.9374898969654,7.84378203037312,30.0524876110307
"MPI-ESM1-2-LR",0.709211114604799,0.558872193111811,0.819043454611546,4.35440733312798,10.4057930832338,2.85320445408737,48.5157877036006,121.778006353703,46.2635642478412,233.673296981663,2.73353633732756,1.98386028100057,3.84783498750106,35.0433166970446,24.5506327980253,46.0222634479674
"MRI-ESM2-0",0.290264650729507,0.215879505583877,0.340260938703105,5.58088023849912,121.750119121174,19.9566110485785,2505.07322863979,84.5227060177006,51.045501879076,142.790157725091,2.7260871371736,2.04834454911193,3.83711080919881,17.3355469914287,12.2103666200806,23.2018811293338
"NorESM2-MM",0.364962845417407,0.255357247971561,0.458049997538509,6.61567974081901,7.62940238761825,1.16082498725582,58.2020538691914,38.4062573302096,2.65943185680205,76.9971941170507,3.45971915707158,2.35528086901261,5.11119012275013,22.6332770319432,15.9099715901344,29.4602685594727
