"","eval_sigma0_est","eval_sigma0_lower","eval_sigma0_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_dI.rel_est","attr_dI.rel_lower","attr_dI.rel_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_dI.rel_est","proj_dI.rel_lower","proj_dI.rel_upper"
"SAM-22_MOHC-HadGEM2-ES_RegCM4-7",0.677086091438107,0.504457195138091,0.797399885371331,7.32594490799713,1.84391124476061,0.970851621642297,3.62085521912449,18.1937642004848,-0.729513031346921,40.7557848608326,1.83061863204517,1.16091736463267,2.8756566157221,15.6539228581416,3.46606935508667,26.7073695513702
"SAM-22_MOHC-HadGEM2-ES_REMO2015",0.621926958401881,0.486995263983902,0.721014085874955,5.40529230922784,2.04388605849713,1.02715313918212,4.83631860585602,19.508768372057,0.686058927158971,43.4469935521373,1.89603330338283,1.21001880744508,2.89993347686685,16.2224922406629,4.60338024164294,26.8025091507631
"SAM-22_MPI-M-MPI-ESM-LR_REMO2015",0.501658440846242,0.381004700615158,0.584370251526949,5.75751356325144,2.04291154677411,0.862104773573683,6.70021671623945,18.357322749456,-3.48139763696439,45.836618001103,1.97174846724485,0.972660087562991,3.62663284125916,15.5985005547226,-0.664185853634763,27.3662217161625
"SAM-22_MPI-M-MPI-ESM-MR_RegCM4-7",0.432519036476287,0.347269003660923,0.495447862346982,7.00034135140218,2.0981052496169,0.833598066311506,6.63952412130955,14.5354000252245,-3.20075058983119,36.0155882906598,1.04734937485699,0.451040873720162,2.30098385625194,1.0778397598676,-19.1721391044546,17.9679634024517
"SAM-22_NCC-NorESM1-M_RegCM4-7",0.340173198571478,0.196985465045014,0.481488399175789,7.20108303517533,0.758827777692932,0.370382051433864,1.46429046791134,-3.84972232308653,-12.4495962236131,4.81086858669331,1.93158683908642,1.2642681710659,2.99079083604722,8.19721785178108,2.09596631270581,14.3993034975366
"SAM-22_NCC-NorESM1-M_REMO2015",0.436040613645937,0.319680787227292,0.522729232244519,6.30833166637608,2.94024840393632,1.01652379364064,10.0048290660807,20.4349930241247,0.316457145245718,41.6812952271636,2.9844199461095,1.66156127495112,5.06987272231019,20.0813064761611,9.08451301736027,28.9376194150592
"SAM-44_CCCma-CanESM2_RCA4",0.484513092703232,0.340489614967204,0.598124248873765,6.31976370610434,1.53271332302871,1.02562097933247,2.48836788565272,8.39356817292992,0.429734280322871,16.4242406243842,1.91071804765565,1.38015223296554,2.65381611258017,12.0572155224558,6.09268932184059,17.4732697092151
"SAM-44_CCCma-CanESM2_WRF341I",0.750494887909149,0.564989414349142,0.890524421725245,5.38689461246177,1.11226602403452,0.691214706653902,1.72055667385583,3.48094024812051,-10.7914188978868,18.5902617396972,1.11908896216373,0.762086428582958,1.6017591537759,3.57713649589791,-8.14642473265097,14.7862696813171
"SAM-44_CNRM-CERFACS-CNRM-CM5_RCA4",0.757046944597821,0.629996202029433,0.839480670672627,6.52320703423917,1.71342740480743,0.78900584516188,4.17023145449769,17.576792152788,-6.99781593612638,48.154994993267,1.6399266395037,0.929260808526061,2.8627942019637,14.8975646077123,-2.37668992079461,29.0083991172192
"SAM-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_RCA4",0.605981442111684,0.482307880718276,0.69738477638917,6.67614505783842,2.79627339225613,1.0971954579969,7.43555936061783,29.5703203940913,2.53489336929237,56.7885975283438,1.93408475493148,1.13531851257056,3.09299961985031,16.7689098152325,3.32035840308462,27.5785012746253
