"","eval_sigma0_est","eval_sigma0_lower","eval_sigma0_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_dI.rel_est","attr_dI.rel_lower","attr_dI.rel_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_dI.rel_est","proj_dI.rel_lower","proj_dI.rel_upper"
"CanESM5",0.679101603153955,0.577654998635515,0.740614561210798,6.89436972020719,2.78659108228449,1.96347955113093,4.17537554703706,40.5621445471905,25.8305130423579,56.799591060445,3.01487566397522,2.4820631871023,3.79761354923962,34.7818041819526,29.5323529643739,39.8757569770798
"CMCC-ESM2",0.356776842670056,0.269491129651465,0.423336981831654,6.66343779384502,1.31116847959155,0.931678768913383,1.95416467695727,6.05870832020963,-1.48311304604564,15.0727908671423,1.14163387179901,0.78985189666995,1.64762664482176,2.87720621190235,-5.09931233310832,10.8619768831173
"EC-Earth3",0.987341928949103,0.677438060299331,1.2399098800595,6.33089242613214,1.33434308851518,0.909166716418518,1.94886167352987,12.4573694927296,-3.84274782766786,28.709218586663,0.911399171190938,0.663040769261243,1.27801589060573,-3.92672792445792,-17.1999027006441,9.94694231282961
"INM-CM4-8",0.806188948225368,0.570285949355366,0.963512486624865,6.78956108924746,0.738455396382719,0.434087131580568,1.20566437516793,-9.7211199651942,-24.4463683129945,6.47799804530307,1.20872573762358,0.802820795615207,1.6947360353926,5.9816026428716,-7.21115376169067,16.3114669806395
"INM-CM5-0",0.669247246481309,0.496775570293189,0.812400512986344,6.89845454944975,0.950687807654825,0.567560580247387,1.65267364718556,-1.41908952362744,-14.7186868931368,15.1149804682065,1.68358128438569,1.12282027169978,2.34038580345822,13.7908719270831,3.11078923848694,22.1801187514589
"IPSL-CM6A-LR",0.441330091243005,0.337756708552442,0.51175460362997,5.92624251790802,1.33408442355044,0.937136622827721,2.10448404549458,5.61611489465912,-1.33869814209597,14.0500320072204,2.17847555392318,1.64121651497872,2.86896189674233,14.7122105039573,9.50988375217713,19.5463156771324
"MIROC6",0.425909309926247,0.337136897664417,0.488262876685252,6.79055414203142,1.32004704970933,0.745820718972218,2.41986829978666,6.34471599493822,-6.01380792737449,21.3638871683878,1.5086426732621,0.875540546508799,2.44645546080212,9.34020622731564,-3.02719142980659,19.9478041374933
"MPI-ESM1-2-HR",0.799976729175592,0.578760340147633,0.973952172668525,4.79496145272877,1.38260590443023,0.839097195741583,2.31394432974665,11.1403831586952,-5.65318261566606,30.006770027222,1.89814513237636,1.27694953094193,2.71618112071531,19.9374898969654,7.84378203037312,30.0524876110307
"MPI-ESM1-2-LR",0.709211114604799,0.558872193111811,0.819043454611546,4.35440733312798,2.44036437478945,1.51802493179224,4.12865362195739,39.358254475885,17.1673829898821,65.215403844826,2.73353633732756,1.98386028100057,3.84783498750106,35.0433166970446,24.5506327980253,46.0222634479674
"MRI-ESM2-0",0.290264650729507,0.215879505583877,0.340260938703105,5.58088023849912,5.57022831769012,3.06139386602107,14.1160722339321,29.0785533922645,18.7485317457038,44.7147734194668,2.7260871371736,2.04834454911193,3.83711080919881,17.3355469914287,12.2103666200806,23.2018811293338
"NorESM2-MM",0.364962845417407,0.255357247971561,0.458049997538509,6.61567974081901,2.18473001127623,1.06363136366912,4.38403482357513,14.502477963394,1.09961148682783,26.8584279758386,3.45971915707158,2.35528086901261,5.11119012275013,22.6332770319432,15.9099715901344,29.4602685594727
